Mine Name,CAAQMS_Source_Name,CAAQMS_Match_Type,Environmental_Anomaly,Environmental_Risk_Score,Environmental_Min_Anomaly_Score,Environmental_Anomaly_Count,Environmental_Observations,Environmental_Anomaly_Rate,Environmental_Available,Production_Source_Name,Production_Match_Type,Operational_ZScore,Operational_Absolute_ZScore,Operational_Anomaly,Operational_Anomaly_Category,Operational_Anomaly_Reason,Operational_Change,Data_Sufficient,Operational_Available,Evidence_Count,Evidence_Coverage,Evidence_Status,Safety_Evidence_Available,Safety_Evidence_Status
Pacchwara North Coal Mine,,,,,,,,,0,Pacchwara North Coal Mine,Contextual_Fuzzy,-1.4416843234019048,1.4416843234019048,0.0,Normal,Latest production change is within the normal range of observed production changes.,-1.2899999999999991,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Pachhwara Central Coal Mine,,,,,,,,,0,Pachhwara Central Coal Mine,Contextual_Fuzzy,3.771411311455741,3.771411311455741,1.0,Highly Unusual,Production increased by 4.12 MT compared with the previous year; the change is statistically unusual (Z-score: 3.77).,4.12,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Padampur OC,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Padmavathi Khani No.5 Incline,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Pakri Barwadih,,,,,,,,,0,Pakri Barwadih,Contextual_Fuzzy,2.769263536917485,2.769263536917485,1.0,Unusual,Production increased by 3.08 MT compared with the previous year; the change is statistically unusual (Z-score: 2.77).,3.0799999999999983,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Pali,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Pandaveswar UG,,,,,,,,,0,Pandaveswar UG,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Pandavpara Colliery,,,,,,,,,0,Pandavpara Colliery,Contextual_Fuzzy,-0.1697275326418146,0.1697275326418146,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.03,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Paoni II OCM,,,,,,,,,0,Paoni II OCM,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Parasea Colliery,,,,,,,,,0,Parasea Colliery,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Parbelia Colliery,,,,,,,,,0,Parbelia Colliery,Contextual_Fuzzy,-0.2082716778163628,0.2082716778163628,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.01,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Parej East OCP,,,,,,,,,0,Parej East OCP,Contextual_Fuzzy,-0.2179077141099998,0.2179077141099998,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0199999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Parsa East and Kanta Basan OCM,,,,,,,,,0,Parsa East and Kanta Basan OCM,Contextual_Fuzzy,-5.113014151277623,5.113014151277623,1.0,Highly Unusual,Production decreased by 5.10 MT compared with the previous year; the change is statistically unusual (Z-score: -5.11).,-5.1000000000000005,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Patansaongi Colliery,,,,,,,,,0,Patansaongi Colliery,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Patmohana Colliery,,,,,,,,,0,Patmohana Colliery,Contextual_Fuzzy,-0.1889996052290887,0.1889996052290887,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.01,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Penganga OC,,,,,,,,,0,Penganga OC,Contextual_Fuzzy,-1.0658789079500608,1.0658789079500608,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.9000000000000004,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
"Pimpalgaon,",,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Pindra Colliery,,,,,,,,,0,Pindra Colliery,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
