Mine Name,CAAQMS_Source_Name,CAAQMS_Match_Type,Environmental_Anomaly,Environmental_Risk_Score,Environmental_Min_Anomaly_Score,Environmental_Anomaly_Count,Environmental_Observations,Environmental_Anomaly_Rate,Environmental_Available,Production_Source_Name,Production_Match_Type,Operational_ZScore,Operational_Absolute_ZScore,Operational_Anomaly,Operational_Anomaly_Category,Operational_Anomaly_Reason,Operational_Change,Data_Sufficient,Operational_Available,Evidence_Count,Evidence_Coverage,Evidence_Status,Safety_Evidence_Available,Safety_Evidence_Status
South Samla,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Srirampur OC,,,,,,,,,0,Srirampur OC,Contextual_Fuzzy,-0.1311833874672666,0.1311833874672666,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0699999999999998,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
"Srirampur-1, Incline",,,,,,,,,0,"Srirampur-1, Incline",Contextual_Fuzzy,-0.3817203311018297,0.3817203311018297,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.19,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Srirampur-3 & 3A Incline,,,,,,,,,0,Srirampur-3 & 3A Incline,Contextual_Fuzzy,-0.3624482585145557,0.3624482585145557,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.17,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Suliyari,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Tadicherla 1 OCM,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Takli Jena Bellora,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Talabira II & III,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Talaipalli Coal Mine,,,,,,,,,0,Talaipalli Coal Mine,Contextual_Fuzzy,4.75428701340672,4.75428701340672,1.0,Highly Unusual,Production increased by 5.14 MT compared with the previous year; the change is statistically unusual (Z-score: 4.75).,5.140000000000001,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Tandsi,,,,,,,,,0,Tandsi,Contextual_Fuzzy,-0.2468158229909109,0.2468158229909109,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0499999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Tapin North,,,,,,,,,0,Tapin North,Contextual_Fuzzy,-0.0444590608245328,0.0444590608245328,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.1600000000000001,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Tapin South,,,,,,,,,0,Tapin South,Contextual_Fuzzy,0.1193535561672967,0.1193535561672967,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.3299999999999998,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Tara(E&W),,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Tarmi,,,,,,,,,0,Tarmi,Contextual_Fuzzy,0.0711733746991117,0.0711733746991117,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.28,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Tasra Colliery,,,,,,,,,0,Tasra Colliery,Contextual_Fuzzy,-0.1697275326418146,0.1697275326418146,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.03,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Tawa Mine,,,,,,,,,0,Tawa Mine,Contextual_Fuzzy,-0.2082716778163627,0.2082716778163627,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0099999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Tawa-II,,,,,,,,,0,Tawa-II,Contextual_Fuzzy,-0.237179786697274,0.237179786697274,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.04,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Tetaria Khar,,,,,,,,,0,Tetaria Khar,Contextual_Fuzzy,-0.0830032059990811,0.0830032059990811,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.12,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Tetulmari,,,,,,,,,0,Tetulmari,Contextual_Fuzzy,-0.1600914963481776,0.1600914963481776,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0399999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Tikak Colliery,,,,,,,,,0,Tikak Colliery,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Tilaboni Colliery,,,,,,,,,0,Tilaboni Colliery,Contextual_Fuzzy,-0.2082716778163628,0.2082716778163628,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.01,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Topa Marginal Scheme,,,,,,,,,0,Topa Marginal Scheme,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Trans Damodar Coal Mine,,,,,,,,,0,Trans Damodar Coal Mine,Contextual_Fuzzy,0.2349859916909415,0.2349859916909415,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.4499999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Ukni OC,,,,,,,,,0,Ukni OC,Contextual_Fuzzy,-0.1119113148799922,0.1119113148799922,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.09,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Umaria,,,,,,,,,0,Umaria,Contextual_Fuzzy,-0.2082716778163628,0.2082716778163628,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.01,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Umrer OC Mine,,,,,,,,,0,Umrer OC Mine,Contextual_Fuzzy,-0.8731581820773197,0.8731581820773197,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.7000000000000002,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Urdhan,,,,,,,,,0,Urdhan,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Urimari,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Utkal C Coal Mine,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Utkal D,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Vakilpalli,,,,,,,,,0,Vakilpalli,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Vijay West,,,,,,,,,0,Vijay West,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Vindhya,,,,,,,,,0,Vindhya,Contextual_Fuzzy,-0.2179077141099998,0.2179077141099998,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.02,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Vishnupuri-II,,,,,,,,,0,Vishnupuri-II,Contextual_Fuzzy,-0.2082716778163628,0.2082716778163628,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.01,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
West Bokaro OC (Quarry-E & SE),,,,,,,,,0,West Bokaro OC Quarry-SE,Contextual_Fuzzy,-0.2275437504036371,0.2275437504036371,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0300000000000002,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
West Bokaro OC Quarry-AB,,,,,,,,,0,West Bokaro OC Quarry-AB,Contextual_Fuzzy,0.0133571569372893,0.0133571569372893,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.22,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
West Jhagrakhand,,,,,,,,,0,West Jhagrakhand,Contextual_Fuzzy,-0.2371797866972738,0.2371797866972738,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0399999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
