Mine Name,Overall_Risk_Score,Risk_Category,Confidence_Score,Confidence_Category,Evidence_Coverage,Evidence_Status,Inspection_Priority,Priority_Score,Priority_Reason,AI_Recommendation
K. Dewarkhand,5.392847977591687,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.392847977591687,Low risk indicator (risk score 5.39); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Kabribad OC,4.911046162909832,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.911046162909832,Low risk indicator (risk score 4.91); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Kakatiya Khani-1 & 1A Incline,5.688593760090923,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.688593760090923,Low risk indicator (risk score 5.69); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Kakatiya Khani-5 Incline,5.20679194540907,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.20679194540907,Low risk indicator (risk score 5.21); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
"Kakatiya Khani-6, Incline",5.688593760090923,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.688593760090923,Low risk indicator (risk score 5.69); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Kakatiya Khani-8 & 8A Incline,5.447692852749995,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.447692852749995,Low risk indicator (risk score 5.45); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Kakatiya Khani-OC II,0.815730738114085,LOW,60.0,Moderate,50.0,Operational Only,LOW,0.815730738114085,Low risk indicator (risk score 0.82); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Kakatiya Khani-OC-III,9.24726249504651,LOW,60.0,Moderate,50.0,Operational Only,LOW,9.24726249504651,Low risk indicator (risk score 9.25); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Kakri Project,15.083729146387045,LOW,60.0,Moderate,50.0,Operational Only,LOW,15.083729146387045,Low risk indicator (risk score 15.08); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Kalidaspur Project,4.48408922338629,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.48408922338629,Low risk indicator (risk score 4.48); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Kalyan Khani OC,6.652197389454627,LOW,60.0,Moderate,50.0,Operational Only,LOW,6.652197389454627,Low risk indicator (risk score 6.65); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Kalyan Khani-1 & 5 Incline,7.615801018818333,LOW,60.0,Moderate,50.0,Operational Only,LOW,7.615801018818333,Low risk indicator (risk score 7.62); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Kanchan OC,4.670145255568907,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.670145255568907,Low risk indicator (risk score 4.67); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
