Mine Name,Overall_Risk_Score,Risk_Category,Confidence_Score,Confidence_Category,Evidence_Coverage,Evidence_Status,Inspection_Priority,Priority_Score,Priority_Reason,AI_Recommendation
Chhatarpur 1,0.815730738114085,LOW,60.0,Moderate,50.0,Operational Only,LOW,0.815730738114085,Low risk indicator (risk score 0.82); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Chhinda,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Chinakuri Mine III,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Chirimiri,1.29753255279594,LOW,60.0,Moderate,50.0,Operational Only,LOW,1.29753255279594,Low risk indicator (risk score 1.30); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Chitra East OCP,12.619875197819477,LOW,60.0,Moderate,50.0,Operational Only,LOW,12.619875197819477,Low risk indicator (risk score 12.62); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Chora 10 Pit Colliery,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Chora 7&9 Pits Colliery,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Chora Block Incline UG & Shankarpur OC & Banbahal OC,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Churcha RO,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Dabor Ph-II & III OC,0.870575613272395,LOW,60.0,Moderate,50.0,Operational Only,LOW,0.870575613272395,Low risk indicator (risk score 0.87); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
