Mine ID,Mine Name,Company Name,State,District,Coalfield,Area,Mine Type,Ownership,Production,Despatch
CHANDA_RAYATWARI_COLLIERY,Chanda Rayatwari Colliery,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,Underground,PUBLIC,0.0,0
CHAPAPUR_II_CHAPPAPUR_10_QUARRY_OC,Chapapur-II & Chappapur 10 Quarry (OC),ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,Mixed,PUBLIC,0.445,0
CHAPUIKHAS_COLLIERY,Chapuikhas Colliery,ECL,West Bengal,Bardhaman,Raniganj,Satgram,Underground,PUBLIC,0.024,0
CHASNALLA_COLLIERY,Chasnalla Colliery,IISCO,Jharkhand,DHANBAD,Jharia,Chasnala,Underground,PUBLIC,0.104,0
CHATTI_BARIATU_COAL_MINING_PROJECT,Chatti Bariatu Coal Mining Project,NTPC,Jharkhand,HAZARIBAGH,North Karanpura,Keredari,Opencast,PUBLIC,3.304,0
CHHAL_OC,Chhal OC,SECL,Chhattisgarh,RAIGARH,Central India,Raigarh,Opencast,PUBLIC,5.512,0
CHHATARPUR_II,Chhatarpur -II,WCL,Madhya Pradesh,BETUL,Pathakhera,Pathakhera,Underground,PUBLIC,0.052,0
CHHATARPUR_1,Chhatarpur 1,WCL,Madhya Pradesh,BETUL,Pathakhera,Pathakhera,Underground,PUBLIC,0.65,0
CHHINDA,Chhinda,WCL,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,Pench,Opencast,PUBLIC,0.0,0
CHINAKURI_MINE_III,Chinakuri Mine III,ECL,West Bengal,Bardhaman,Raniganj,Sodepur,Underground,PUBLIC,0.069,0
CHIRIMIRI,Chirimiri,SECL,Chhattisgarh,KOREA,Central India,Chirimiri,Opencast,PUBLIC,0.961,0
CHITRA_EAST_OCP,Chitra East OCP,ECL,Jharkhand,DEOGHAR,Saherjuri Coalfield,S. P. Mines,Opencast,PUBLIC,1.755,0
CHORA_10_PIT_COLLIERY,Chora 10 Pit Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kenda,Underground,PUBLIC,0.041,0
CHORA_7_9_PITS_COLLIERY,Chora 7&9 Pits Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kenda,Underground,PUBLIC,0.064,0
CHORA_BLOCK_INCLINE_UG_SHANKARPUR_OC_BANBAHAL_OC,Chora Block Incline UG & Shankarpur OC & Banbahal OC,ECL,West Bengal,Bardhaman,Raniganj,Kenda,Mixed,PUBLIC,0.277,0
CHURCHA_RO,Churcha RO,SECL,Chhattisgarh,KOREA,Central India,Baikunthpur,Underground,PUBLIC,1.408,0
DABOR_PH_II_III_OC,Dabor Ph-II & III OC,ECL,West Bengal,Bardhaman,Mugma/Salanpur,Salanpur,Opencast,PUBLIC,0.335,0
DAKRA_BUKBUKA_OC,Dakra Bukbuka OC,CCL,Jharkhand,RANCHI,N.K.Coalfields,North Karanpura,Opencast,PUBLIC,0.293,0
DALURBAND_OC,Dalurband OC,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,Opencast,PUBLIC,0.729,0
DAMINI,Damini,SECL,Madhya Pradesh,SHAHDOL,Central India,Sohagpur,Underground,PUBLIC,0.265,0
DAMODA,Damoda,BCCL,Jharkhand,DHANBAD,Jharia,Barora,Opencast,PUBLIC,0.556,0
DHANKASA_JAMUNIA,Dhankasa & Jamunia,WCL,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,Pench,Underground,PUBLIC,0.0,0
DHANPURI,Dhanpuri,SECL,Madhya Pradesh,SHAHDOL,Central India,Sohagpur,Opencast,PUBLIC,0.128,0
DHELWADIH_COLLIERY,Dhelwadih Colliery,SECL,Chhattisgarh,KORBA,Central India,Korba,Underground,PUBLIC,0.205,0
DHEMOMAIN_INCL_COLLIERY,Dhemomain Incl Colliery,ECL,West Bengal,Bardhaman,Raniganj,Sodepur,Underground,PUBLIC,0.023,0
