Source,Source_Mine_Name,Source_Company,Source_State,Master_Mine_Name,Master_Company,Master_State,Master_District,Master_Coalfield,Master_Area,Master_Mine_Type,Master_Ownership,Match_Type,Match_Score,Score_Gap,Review_Required,Mapping_Status
Production,Kakatiya Khani-OC II,SCCL,Telangana,Kakatiya Khani-OC II,SCCL,Telangana,JAYASHANKAR BHUPALPALLY,Godavari Valley,Bhupalpalli,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.1222,Yes,Matched_Review
Production,Kakatiya Khani-OC-III,SCCL,Telangana,Kakatiya Khani-OC-III,SCCL,Telangana,JAYASHANKAR BHUPALPALLY,Godavari Valley,Bhupalpalli,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.1222,Yes,Matched_Review
Production,Kakri OCP,NCL,Uttar Pradesh,,,,,,,,,Unmatched,0.6933,0.055,Yes,Unmatched
Production,Kakri Project,NCL,Uttar Pradesh,Kakri Project,NCL,Madhya Pradesh,SINGRAULI,Singrauli,Kakri,Opencast,PUBLIC,Contextual_Fuzzy,0.9533,0.4242,Yes,Matched_Review
Production,Kalidaspur Project,ECL,West Bengal,Kalidaspur Project,ECL,West Bengal,BANKURA,Raniganj,Satgram,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.4789,Yes,Matched_Review
Production,Kalipahari OC (H) A,ECL,West Bengal,,,,,,,,,Unmatched,0.5758,0.0331,Yes,Unmatched
Production,Kalyan Khani OC,SCCL,Telangana,Kalyan Khani OC,SCCL,Telangana,MANCHERIAL,Godavari Valley,Mandamari,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.2545,Yes,Matched_Review
Production,Kalyan Khani-1,SCCL,Telangana,Kalyan Khani OC,SCCL,Telangana,MANCHERIAL,Godavari Valley,Mandamari,Opencast,PUBLIC,Possible,0.8166,0.0391,Yes,Matched_Review
Production,Kalyan Khani-1 Incline,SCCL,Telangana,Kalyan Khani-1 & 5 Incline,SCCL,Telangana,MANCHERIAL,Godavari Valley,Mandamari,Underground,PUBLIC,Contextual_Fuzzy,0.9257,0.1429,Yes,Matched_Review
Production,Kalyan Khani-5,SCCL,Telangana,Kalyan Khani OC,SCCL,Telangana,MANCHERIAL,Godavari Valley,Mandamari,Opencast,PUBLIC,Possible,0.8166,0.0391,Yes,Matched_Review
Production,Kalyan Khani-5 Incline,SCCL,Telangana,Kalyan Khani-1 & 5 Incline,SCCL,Telangana,MANCHERIAL,Godavari Valley,Mandamari,Underground,PUBLIC,Contextual_Fuzzy,0.9257,0.0925,Yes,Matched_Review
Production,Kalyani,SECL,Chhattisgarh,,,,,,,,,Unmatched,0.54,0.03,Yes,Unmatched
Production,Kamptee UG to OC,WCL,Maharashtra,Adasa (UG to OC),WCL,Maharashtra,NAGPUR,Kamptee/Silewara,Nagpur,Opencast,PUBLIC,Possible,0.748,0.1126,Yes,Matched_Review
