Producing Mine,State,Company,Production_2021_22,Production_2022_23,Production_2023_24,Change_2021_22_to_2022_23,Change_2022_23_to_2023_24,Percentage_Change_21_22_to_22_23,Percentage_Change_22_23_to_23_24,Production_Mean,Production_Std,Observation_Count,Zero_Production_Count,Latest_Production_Change,Latest_Percentage_Change,Missing_2021_22,Missing_2022_23,Missing_2023_24,Data_Sufficient
Dhemomain Pit Colliery,West Bengal,ECL,0.02,0.03,0.03,0.009999999999999998,0.0,49.999999999999986,0.0,0.02666666666666667,0.005773502691896256,3,0,0.0,0.0,0,0,0,1
Dhoptala OC (Sasti Colliery),Maharashtra,WCL,,0.7,1.68,,0.98,,140.0,1.19,0.6929646455628166,2,0,0.98,140.0,1,0,0,1
Dhore East OC,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Dhori Khas(OC),Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Dhori Khas(UG),Jharkhand,CCL,0.13,0.13,0.14,0.0,0.010000000000000009,0.0,7.692307692307699,0.13333333333333333,0.005773502691896263,3,0,0.010000000000000009,7.692307692307699,0,0,0,1
Dhorwasa OC,Maharashtra,WCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
"Digwadih Colliery,",Jharkhand,TSL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
"Digwadih Colliery,",Jharkhand,TSLJH,,0.0,0.0,,0.0,,,0.0,0.0,2,2,0.0,,1,0,0,1
Dipka,Chhattisgarh,SECL,34.38,32.15,33.42,-2.230000000000004,1.2700000000000031,-6.4863292611983825,3.950233281493012,33.31666666666667,1.1185854161991107,3,0,1.2700000000000031,3.950233281493012,0,0,0,1
Dobari,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Dubeswari Colliery,West Bengal,ECL,0.07,0.05,0.05,-0.020000000000000004,0.0,-28.571428571428577,0.0,0.05666666666666667,0.011547005383792516,3,0,0.0,0.0,0,0,0,1
Dudhichua OCP,Uttar Pradesh,NCL,22.06,,,,,,,22.06,,1,0,,,0,1,1,0
Dudhichua Project,Uttar Pradesh,NCL,,23.03,25.0,,1.9699999999999989,,8.554059921841072,24.015,1.3930003589374977,2,0,1.9699999999999989,8.554059921841072,1,0,0,1
Dugga,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Dulanga Coal Mining Project,Odisha,NTPC,5.29,,,,,,,5.29,,1,0,,,0,1,1,0
Dulanga Coal Mining Project,Odisha,NTPC_DG,,7.0,7.0,,0.0,,0.0,7.0,0.0,2,0,0.0,0.0,1,0,0,1
Duman Hill,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Durgapur OC,Maharashtra,WCL,1.84,,,,,,,1.84,,1,0,,,0,1,1,0
Durgapur Open Cast,Maharashtra,WCL,,1.73,2.5,,0.77,,44.50867052023121,2.115,0.5444722215136416,2,0,0.77,44.50867052023121,1,0,0,1
Durgapur Rayatwari Colly,Maharashtra,WCL,0.11,0.1,0.1,-0.009999999999999995,0.0,-9.090909090909086,0.0,0.10333333333333335,0.0057735026918962545,3,0,0.0,0.0,0,0,0,1
E. Bassuriya,Jharkhand,BCCL,0.16,,,,,,,0.16,,1,0,,,0,1,1,0
E.Basuria,Jharkhand,BCCL,,,0.14,,,,,0.14,,1,0,,,1,1,0,0
E.Katras,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Ena,Jharkhand,BCCL,1.0,2.55,3.0,1.5499999999999998,0.4500000000000002,154.99999999999997,17.64705882352942,2.183333333333333,1.0492060490358095,3,0,0.4500000000000002,17.64705882352942,0,0,0,1
G & G B Coal Mine,West Bengal,WBPDCL_GB,,1.2,3.0,,1.8,,150.0,2.1,1.2727922061357855,2,0,1.8,150.0,1,0,0,1
GP-IV-8 Coal Mine,Chhattisgarh,AMBUJA,0.78,1.2,0.95,0.41999999999999993,-0.25,53.84615384615383,-20.833333333333336,0.9766666666666666,0.21126602503321096,3,0,-0.25,-20.833333333333336,0,0,0,1
Gangaramchak Bhadulia,West Bengal,WBPDCL,1.0,,,,,,,1.0,,1,0,,,0,1,1,0
Gare Palma 1,Chhattisgarh,JPL,0.36,,,,,,,0.36,,1,0,,,0,1,1,0
Gare Palma IV/1,Chhattisgarh,JPL,,6.0,,,,,,6.0,,1,0,,,1,0,1,0
Gare Palma IV/1,Chhattisgarh,JPL_IV/1,,,7.2,,,,,7.2,,1,0,,,1,1,0,0
Gare Palma IV/1,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Gare Palma IV/2 &3,Chhattisgarh,JPL_IV/2 & 3,,,0.71,,,,,0.71,,1,0,,,1,1,0,0
Gare Palma IV/2&3,Chhattisgarh,SECL,2.91,,,,,,,2.91,,1,0,,,0,1,1,0
Gare Palma IV/2&3,Chhattisgarh,SECL(GP 2&3),,2.05,0.16,,-1.89,,-92.19512195121952,1.105,1.3364318164425748,2,0,-1.89,-92.19512195121952,1,0,0,1
Gare Palma IV/4 Coal Mine,Chhattisgarh,HIL,0.56,,,,,,,0.56,,1,0,,,0,1,1,0
Gare Palma IV/4 Coal Mine,Chhattisgarh,HIL_GP_IV/4,,0.56,0.47,,-0.09000000000000008,,-16.071428571428584,0.515,0.06363961030678934,2,0,-0.09000000000000008,-16.071428571428584,1,0,0,1
Gare Palma IV/5 Coal Mine,Chhattisgarh,HIL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Gare Palma IV/5 Coal Mine,Chhattisgarh,HIL_GP_IV/5,,0.0,0.0,,0.0,,,0.0,0.0,2,2,0.0,,1,0,0,1
Gare Palma IV/7,Chhattisgarh,SEML,0.79,1.2,1.44,0.4099999999999999,0.24,51.898734177215175,20.0,1.1433333333333333,0.32868424564212584,3,0,0.24,20.0,0,0,0,1
Gare Palma Sector III,Chhattisgarh,CSPGCL,3.27,3.62,4.0,0.3500000000000001,0.3799999999999999,10.703363914373092,10.49723756906077,3.6300000000000003,0.3651027252705737,3,0,0.3799999999999999,10.49723756906077,0,0,0,1
Gare palma IV/6 vill- Kenjemura,Chhattisgarh,JSPL_GP IV/6,,,1.8,,,,,1.8,,1,0,,,1,1,0,0
Garjanbahal OCP,Odisha,MCL,13.55,17.29,18.2,3.7399999999999984,0.9100000000000001,27.601476014760134,5.263157894736843,16.346666666666668,2.4643525180731203,3,0,0.9100000000000001,5.263157894736843,0,0,0,1
"Gautham Khani,",Telangana,SCCL,3.6,,,,,,,3.6,,1,0,,,0,1,1,0
Gayatri,Chhattisgarh,SECL,0.13,0.19,0.58,0.06,0.38999999999999996,46.15384615384615,205.26315789473682,0.3,0.2443358344574123,3,0,0.38999999999999996,205.26315789473682,0,0,0,1
Gevra,Chhattisgarh,SECL,40.45,52.5,59.11,12.049999999999997,6.609999999999999,29.789864029666248,12.590476190476188,50.68666666666667,9.461238467205723,3,0,6.609999999999999,12.590476190476188,0,0,0,1
Ghanoodih,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
"Ghonsa,",Maharashtra,WCL,0.43,0.46,0.6,0.030000000000000027,0.13999999999999996,6.976744186046519,30.43478260869564,0.49666666666666665,0.09073771725877465,3,0,0.13999999999999996,30.43478260869564,0,0,0,1
Ghorawari-1,Madhya Pradesh,WCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Ghorawari-2/Bharat OC,Madhya Pradesh,WCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Ghugus OCM,Maharashtra,WCL,,0.0,,,,,,0.0,,1,1,,,1,0,1,0
Gidi `A',Jharkhand,CCL,0.23,0.23,0.49,0.0,0.26,0.0,113.04347826086956,0.31666666666666665,0.15011106998930268,3,0,0.26,113.04347826086956,0,0,0,1
Gidi `C',Jharkhand,CCL,0.33,0.48,0.6,0.14999999999999997,0.12,45.45454545454544,25.0,0.47000000000000003,0.13527749258468683,3,0,0.12,25.0,0,0,0,1
Giridih OC,Jharkhand,CCL,0.1,0.2,0.0,0.1,-0.2,100.0,-100.0,0.10000000000000002,0.1,3,1,-0.2,-100.0,0,0,0,1
Giridih UG,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Godavari Khani-1 & 3,Telangana,SCCL,0.17,0.18,0.17,0.009999999999999981,-0.009999999999999981,5.8823529411764595,-5.555555555555546,0.17333333333333334,0.005773502691896247,3,0,-0.009999999999999981,-5.555555555555546,0,0,0,1
Godavari Khani-11,Telangana,SCCL,0.49,,,,,,,0.49,,1,0,,,0,1,1,0
Godavari Khani-11 Incline,Telangana,SCCL,,0.84,0.61,,-0.22999999999999998,,-27.38095238095238,0.725,0.1626345596729059,2,0,-0.22999999999999998,-27.38095238095238,1,0,0,1
Godavari Khani-2 & 2A,Telangana,SCCL,0.27,0.24,0.22,-0.030000000000000027,-0.01999999999999999,-11.11111111111112,-8.33333333333333,0.24333333333333332,0.025166114784235843,3,0,-0.01999999999999999,-8.33333333333333,0,0,0,1
Godavari Khani-7 LEP,Telangana,SCCL,0.06,,,,,,,0.06,,1,0,,,0,1,1,0
Godavarikhani V OC,Telangana,SCCL,,,3.51,,,,,3.51,,1,0,,,1,1,0,0
Godavarikhani v OC,Telangana,SCCL,0.41,3.46,,3.05,,743.9024390243903,,1.935,2.15667568261897,2,0,,,0,0,1,1
Gokul Mine,Maharashtra,WCL,1.88,,,,,,,1.88,,1,0,,,0,1,1,0
Gokul OC Mine + Gokul Extn.,Maharashtra,WCL,,1.88,1.81,,-0.06999999999999984,,-3.7234042553191404,1.845,0.049497474683058214,2,0,-0.06999999999999984,-3.7234042553191404,1,0,0,1
Gondegaon,Maharashtra,WCL,3.42,,,,,,,3.42,,1,0,,,0,1,1,0
Gondudih/K.Kusunda,Jharkhand,BCCL,2.32,1.92,,-0.3999999999999999,,-17.241379310344826,,2.12,0.28284271247461895,2,0,,,0,0,1,1
Gondudih/Khas Kusunda,Jharkhand,BCCL,,,1.45,,,,,1.45,,1,0,,,1,1,0,0
Gopalichuck,Jharkhand,BCCL,0.23,0.17,0.36,-0.06,0.18999999999999997,-26.08695652173913,111.76470588235293,0.25333333333333335,0.09712534856222309,3,0,0.18999999999999997,111.76470588235293,0,0,0,1
Gopinathpur,Jharkhand,ECL,0.1,0.01,0.0,-0.09000000000000001,-0.01,-90.0,-100.0,0.03666666666666667,0.055075705472861024,3,1,-0.01,-100.0,0,0,0,1
Gotitoria (East & West),Madhya Pradesh,BSMPL,,0.02,,,,,,0.02,,1,0,,,1,0,1,0
Gotitoria (East) & Gotitora (West),Madhya Pradesh,BSMPL,,,0.3,,,,,0.3,,1,0,,,1,1,0,0
Gourandi Begunia,West Bengal,ECL,1.46,1.32,1.41,-0.1399999999999999,0.08999999999999986,-9.589041095890405,6.818181818181807,1.3966666666666667,0.07094598884597583,3,0,0.08999999999999986,6.818181818181807,0,0,0,1
Gourangdhi Extn OC,West Bengal,ECL,0.29,0.2,,-0.08999999999999997,,-31.03448275862068,,0.245,0.06363961030678926,2,0,,,0,0,1,1
Gourangdih Extn OC,West Bengal,ECL,,,0.74,,,,,0.74,,1,0,,,1,1,0,0
Gouri -Pauni(A) OCM,Maharashtra,WCL,,0.87,2.57,,1.6999999999999997,,195.40229885057468,1.72,1.2020815280171306,2,0,1.6999999999999997,195.40229885057468,1,0,0,1
Gouri Deep,Maharashtra,WCL,0.6,0.56,0.38,-0.039999999999999925,-0.18000000000000005,-6.666666666666654,-32.14285714285715,0.5133333333333333,0.1171893055416463,3,0,-0.18000000000000005,-32.14285714285715,0,0,0,1
Gouri Exp(A),Maharashtra,WCL,0.94,,,,,,,0.94,,1,0,,,0,1,1,0
Gouthampur Khani OCP,Telangana,SCCL,,0.59,0.13,,-0.45999999999999996,,-77.96610169491525,0.36,0.3252691193458118,2,0,-0.45999999999999996,-77.96610169491525,1,0,0,1
Govinda,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Govindpur Ph-II OCP,Jharkhand,CCL,,,0.94,,,,,0.94,,1,0,,,1,1,0,0
"Govindpur,",Jharkhand,CCL,0.03,0.03,0.02,0.0,-0.009999999999999998,0.0,-33.33333333333333,0.02666666666666667,0.005773502691896256,3,0,-0.009999999999999998,-33.33333333333333,0,0,0,1
Hakdibari,Chhattisgarh,SECL,0.6,0.66,,0.06000000000000005,,10.000000000000009,,0.63,0.04242640687119289,2,0,,,0,0,1,1
Haldibari,Chhattisgarh,SECL,,,0.59,,,,,0.59,,1,0,,,1,1,0,0
Harad Incline,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Hariajam,Jharkhand,ECL,0.03,0.04,0.05,0.010000000000000002,0.010000000000000002,33.33333333333334,25.000000000000007,0.04,0.010000000000000002,3,0,0.010000000000000002,25.000000000000007,0,0,0,1
Hesagoda,Jharkhand,CCL,0.0,0.0,,0.0,,,,0.0,0.0,2,2,,,0,0,1,1
Hindustan Lalpeth Colliery No.1,Maharashtra,WCL,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3,3,0.0,,0,0,0,1
Hindustan Lalpeth OC,Maharashtra,WCL,0.46,1.0,1.0,0.54,0.0,117.3913043478261,0.0,0.82,0.31176914536239786,3,0,0.0,0.0,0,0,0,1
Hingula OCP,Odisha,MCL,7.74,12.38,13.06,4.640000000000001,0.6799999999999997,59.9483204134367,5.492730210016152,11.06,2.8952374686716116,3,0,0.6799999999999997,5.492730210016152,0,0,0,1
Hirakhand Bundia Mine,Odisha,MCL,0.21,0.19,0.2,-0.01999999999999999,0.010000000000000009,-9.523809523809518,5.263157894736847,0.20000000000000004,0.009999999999999995,3,0,0.010000000000000009,5.263157894736847,0,0,0,1
Hura C,Jharkhand,ECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Hurra'C',Jharkhand,ECL,,0.24,2.07,,1.8299999999999998,,762.5,1.1549999999999998,1.2940054095713818,2,0,1.8299999999999998,762.5,1,0,0,1
Hurrlidih,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Hutar Tetaria Khar,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
"Indaram Khani-1A, Incline",Telangana,SCCL,0.45,0.48,0.2,0.02999999999999997,-0.27999999999999997,6.66666666666666,-58.33333333333333,0.37666666666666665,0.1537313674346694,3,0,-0.27999999999999997,-58.33333333333333,0,0,0,1
Indaram Khani-OC,Telangana,SCCL,1.5,1.5,1.22,0.0,-0.28,0.0,-18.666666666666668,1.4066666666666665,0.1616580753730952,3,0,-0.28,-18.666666666666668,0,0,0,1
Inder UG to OC,Maharashtra,WCL,2.0,,,,,,,2.0,,1,0,,,0,1,1,0
Int. Lakhanpur-Belpahar-Lilari OCP,Odisha,MCL,,,32.2,,,,,32.2,,1,0,,,1,1,0,0
Itapara OC Patch,West Bengal,ECL,0.52,0.3,0.21,-0.22000000000000003,-0.09,-42.307692307692314,-30.0,0.3433333333333333,0.15947831618540914,3,0,-0.09,-30.0,0,0,0,1
J. K. Nagar Colliery,West Bengal,ECL,0.17,0.16,0.14,-0.010000000000000009,-0.01999999999999999,-5.8823529411764754,-12.499999999999993,0.15666666666666668,0.015275252316519465,3,0,-0.01999999999999999,-12.499999999999993,0,0,0,1
Jaganathpur,Chhattisgarh,SECL,1.78,2.26,2.83,0.47999999999999976,0.5700000000000003,26.96629213483145,25.221238938053116,2.29,0.5256424640380569,3,0,0.5700000000000003,25.221238938053116,0,0,0,1
Jagannath OCP,Odisha,MCL,7.03,7.5,,0.46999999999999975,,6.685633001422471,,7.265000000000001,0.33234018715767716,2,0,,,0,0,1,1
Jagannath Re-org OCP,Odisha,MCL,,,7.5,,,,,7.5,,1,0,,,1,1,0,0
Jagannath UG,Odisha,MCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Jainagar 3 & 4 ( Old),Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Jainagar 5 & 6 ( New),Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Jalagam Vengala Rao OC-2,Telangana,SCCL,7.35,10.0,11.07,2.6500000000000004,1.0700000000000003,36.05442176870749,10.700000000000003,9.473333333333334,1.91510661147972,3,0,1.0700000000000003,10.700000000000003,0,0,0,1
"Jamadoba Colliery,",Jharkhand,TSL,0.26,,,,,,,0.26,,1,0,,,0,1,1,0
"Jamadoba Colliery,",Jharkhand,TSLJH,,0.2,0.05,,-0.15000000000000002,,-75.00000000000001,0.125,0.10606601717798214,2,0,-0.15000000000000002,-75.00000000000001,1,0,0,1
Jambad OCP,West Bengal,ECL,0.3,0.58,0.47,0.27999999999999997,-0.10999999999999999,93.33333333333333,-18.96551724137931,0.44999999999999996,0.14106735979665883,3,0,-0.10999999999999999,-18.96551724137931,0,0,0,1
Jambad UG Colliery,West Bengal,ECL,0.14,0.14,0.11,0.0,-0.030000000000000013,0.0,-21.428571428571434,0.13,0.01732050807568878,3,0,-0.030000000000000013,-21.428571428571434,0,0,0,1
Jamkhani Coal Mine,Odisha,Vedanta,,0.69,2.13,,1.44,,208.69565217391303,1.41,1.0182337649086284,2,0,1.44,208.69565217391303,1,0,0,1
Jampali,Chhattisgarh,SECL,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3,0,0.0,0.0,0,0,0,1
Jamuna 9 & 10,Madhya Pradesh,SECL,0.17,0.13,0.13,-0.04000000000000001,0.0,-23.529411764705884,0.0,0.14333333333333334,0.023094010767585032,3,0,0.0,0.0,0,0,0,1
Jamuna OC,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Jamuna RO,Madhya Pradesh,SECL,0.09,0.06,0.01,-0.03,-0.049999999999999996,-33.33333333333333,-83.33333333333333,0.05333333333333334,0.0404145188432738,3,0,-0.049999999999999996,-83.33333333333333,0,0,0,1
Jarangdih OC.,Jharkhand,CCL,0.37,0.87,1.48,0.5,0.61,135.13513513513513,70.11494252873564,0.9066666666666666,0.5559076661940662,3,0,0.61,70.11494252873564,0,0,0,1
Jarangdih UG.,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
"Jawahar Khani OC-5,",Telangana,SCCL,,1.88,1.37,,-0.5099999999999998,,-27.127659574468076,1.625,0.36062445840513907,2,0,-0.5099999999999998,-27.127659574468076,1,0,0,1
"Jawahar Khani-5,",Telangana,SCCL,2.5,,,,,,,2.5,,1,0,,,0,1,1,0
Jayant OCP,Madhya Pradesh,NCL,24.75,,,,,,,24.75,,1,0,,,0,1,1,0
Jayant Project,Madhya Pradesh,NCL,,26.66,30.0,,3.34,,12.528132033008252,28.33,2.3617366491630687,2,0,3.34,12.528132033008252,1,0,0,1
Jhanjra Project,West Bengal,ECL,3.63,2.92,,-0.71,,-19.55922865013774,,3.275,0.5020458146424487,2,0,,,0,0,1,1
Jhanjra Project Colliery,West Bengal,ECL,,,2.66,,,,,2.66,,1,0,,,1,1,0,0
Jharkhand OCP,Jharkhand,CCL,0.5,0.37,0.41,-0.13,0.03999999999999998,-26.0,10.810810810810805,0.4266666666666667,0.06658328118479394,3,0,0.03999999999999998,10.810810810810805,0,0,0,1
Jhilimili,Chhattisgarh,SECL,0.33,,,,,,,0.33,,1,0,,,0,1,1,0
Jhilimili Colliery,Chhattisgarh,SECL,,0.31,0.37,,0.06,,19.35483870967742,0.33999999999999997,0.042426406871192854,2,0,0.06,19.35483870967742,1,0,0,1
Jhingurda OCP,Madhya Pradesh,NCL,2.74,,,,,,,2.74,,1,0,,,0,1,1,0
Jhingurda Project,Madhya Pradesh,NCL,,3.25,3.34,,0.08999999999999986,,2.7692307692307647,3.295,0.06363961030678918,2,0,0.08999999999999986,2.7692307692307647,1,0,0,1
Jhiria,Madhya Pradesh,SECL,,0.15,0.19,,0.04000000000000001,,26.66666666666667,0.16999999999999998,0.02828427124746191,2,0,0.04000000000000001,26.66666666666667,1,0,0,1
Jhiria South Jhimar,Madhya Pradesh,SECL,0.18,,,,,,,0.18,,1,0,,,0,1,1,0
Jitpur Colliery,Jharkhand,IISCOJ,,0.01,0.03,,0.019999999999999997,,199.99999999999994,0.02,0.01414213562373095,2,0,0.019999999999999997,199.99999999999994,1,0,0,1
Jogidih,Jharkhand,BCCL,0.02,0.01,0.01,-0.01,0.0,-50.0,0.0,0.013333333333333334,0.005773502691896258,3,0,0.0,0.0,0,0,0,1
Joyrampur,Jharkhand,BCCL,0.0,,0.71,,,,,0.355,0.5020458146424487,2,1,,,0,1,0,1
"Junad,",Maharashtra,WCL,0.74,0.63,0.46,-0.10999999999999999,-0.16999999999999998,-14.864864864864863,-26.984126984126984,0.61,0.14106735979665883,3,0,-0.16999999999999998,-26.984126984126984,0,0,0,1
Junakunada OC,Maharashtra,WCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
K. Dewarkhand,Jharkhand,CCL,0.95,0.43,0.86,-0.52,0.43,-54.736842105263165,100.0,0.7466666666666666,0.27790885796126275,3,0,0.43,100.0,0,0,0,1
KB-10/12 Pit,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Kabribad OC,Jharkhand,CCL,0.0,0.0,0.41,0.0,0.41,,,0.13666666666666666,0.23671361036774655,3,2,0.41,,0,0,0,1
Kakatiya Khani-1 & 1A,Telangana,SCCL,0.26,,,,,,,0.26,,1,0,,,0,1,1,0
Kakatiya Khani-1 & 1A Incline,Telangana,SCCL,,0.25,0.22,,-0.03,,-12.0,0.235,0.021213203435596427,2,0,-0.03,-12.0,1,0,0,1
Kakatiya Khani-5 Incline,Telangana,SCCL,0.24,0.22,0.21,-0.01999999999999999,-0.010000000000000009,-8.33333333333333,-4.545454545454549,0.2233333333333333,0.015275252316519465,3,0,-0.010000000000000009,-4.545454545454549,0,0,0,1
"Kakatiya Khani-6, Incline",Telangana,SCCL,0.14,0.15,0.12,0.009999999999999981,-0.03,7.142857142857128,-20.0,0.1366666666666667,0.015275252316519468,3,0,-0.03,-20.0,0,0,0,1
Kakatiya Khani-8 & 8A,Telangana,SCCL,0.21,,,,,,,0.21,,1,0,,,0,1,1,0
Kakatiya Khani-8 & 8A Incline,Telangana,SCCL,,0.19,0.17,,-0.01999999999999999,,-10.52631578947368,0.18,0.014142135623730944,2,0,-0.01999999999999999,-10.52631578947368,1,0,0,1
Kakatiya Khani-OC II,Telangana,SCCL,1.18,1.26,1.5,0.08000000000000007,0.24,6.779661016949159,19.047619047619047,1.3133333333333332,0.16653327995729064,3,0,0.24,19.047619047619047,0,0,0,1
Kakatiya Khani-OC-III,Telangana,SCCL,0.36,0.78,1.37,0.42000000000000004,0.5900000000000001,116.66666666666667,75.64102564102565,0.8366666666666668,0.5073788853838258,3,0,0.5900000000000001,75.64102564102565,0,0,0,1
Kakri OCP,Uttar Pradesh,NCL,2.41,,,,,,,2.41,,1,0,,,0,1,1,0
Kakri Project,Uttar Pradesh,NCL,,2.26,1.84,,-0.4199999999999997,,-18.584070796460168,2.05,0.29698484809834974,2,0,-0.4199999999999997,-18.584070796460168,1,0,0,1
Kalidaspur Project,West Bengal,ECL,0.07,0.06,0.08,-0.010000000000000009,0.020000000000000004,-14.285714285714295,33.33333333333334,0.07,0.010000000000000002,3,0,0.020000000000000004,33.33333333333334,0,0,0,1
Kalipahari OC (H) A,West Bengal,ECL,0.08,0.08,,0.0,,0.0,,0.08,0.0,2,0,,,0,0,1,1
Kalyan Khani OC,Telangana,SCCL,1.76,1.85,1.78,0.09000000000000008,-0.07000000000000006,5.113636363636368,-3.783783783783787,1.7966666666666669,0.04725815626252612,3,0,-0.07000000000000006,-3.783783783783787,0,0,0,1
Kalyan Khani-1,Telangana,SCCL,0.18,,,,,,,0.18,,1,0,,,0,1,1,0
Kalyan Khani-1 Incline,Telangana,SCCL,,0.13,0.02,,-0.11,,-84.61538461538461,0.075,0.07778174593052023,2,0,-0.11,-84.61538461538461,1,0,0,1
Kalyan Khani-5,Telangana,SCCL,0.16,,,,,,,0.16,,1,0,,,0,1,1,0
Kalyan Khani-5 Incline,Telangana,SCCL,,0.17,0.2,,0.03,,17.64705882352941,0.185,0.021213203435596427,2,0,0.03,17.64705882352941,1,0,0,1
Kalyani,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Kamptee UG to OC,Maharashtra,WCL,0.23,0.0,,-0.23,,-100.0,,0.115,0.16263455967290594,2,1,,,0,0,1,1
Kanchan OC,Madhya Pradesh,SECL,0.75,0.51,0.91,-0.24,0.4,-32.0,78.43137254901961,0.7233333333333333,0.20132891827388666,3,0,0.4,78.43137254901961,0,0,0,1
Kaniha OCP,Odisha,MCL,10.1,12.15,11.81,2.0500000000000007,-0.33999999999999986,20.297029702970303,-2.7983539094650194,11.353333333333333,1.0986506875860653,3,0,-0.33999999999999986,-2.7983539094650194,0,0,0,1
Kankanee,Jharkhand,BCCL,0.04,0.21,0.33,0.16999999999999998,0.12000000000000002,424.9999999999999,57.14285714285715,0.19333333333333336,0.1457166199626293,3,0,0.12000000000000002,57.14285714285715,0,0,0,1
Kapasara,Jharkhand,ECL,0.32,0.13,0.04,-0.19,-0.09,-59.375,-69.23076923076923,0.16333333333333333,0.14294521094927712,3,0,-0.09,-69.23076923076923,0,0,0,1
Kapildhara,Madhya Pradesh,SECL,0.14,0.13,0.03,-0.010000000000000009,-0.1,-7.142857142857148,-76.92307692307693,0.10000000000000002,0.060827625302982205,3,0,-0.1,-76.92307692307693,0,0,0,1
Kargali OC,Jharkhand,CCL,0.0,0.0,,0.0,,,,0.0,0.0,2,2,,,0,0,1,1
Karkatta,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Karma,Jharkhand,CCL,0.83,0.72,0.86,-0.10999999999999999,0.14,-13.253012048192769,19.444444444444446,0.8033333333333332,0.07371114795831994,3,0,0.14,19.444444444444446,0,0,0,1
Karo SPL UG,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Karo-I OC,Jharkhand,CCL,2.75,1.52,1.32,-1.23,-0.19999999999999996,-44.72727272727273,-13.157894736842103,1.8633333333333333,0.7743599507550305,3,0,-0.19999999999999996,-13.157894736842103,0,0,0,1
Karo-I UG(Karo Seam),Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Kasipet 1 Incline,Telangana,SCCL,0.13,0.11,0.15,-0.020000000000000004,0.039999999999999994,-15.384615384615389,36.36363636363636,0.13,0.019999999999999997,3,0,0.039999999999999994,36.36363636363636,0,0,0,1
Kasipet 2 Incline,Telangana,SCCL,0.07,0.07,0.1,0.0,0.03,0.0,42.85714285714285,0.08,0.017320508075688773,3,0,0.03,42.85714285714285,0,0,0,1
Kathara Colly.,Jharkhand,CCL,0.14,0.29,0.42,0.14999999999999997,0.13,107.14285714285711,44.827586206896555,0.2833333333333333,0.140118997046558,3,0,0.13,44.827586206896555,0,0,0,1
Kathautia Open Cast Coal Mine,Jharkhand,HIL,0.37,,,,,,,0.37,,1,0,,,0,1,1,0
Kathautia Open Cast Coal Mine,Jharkhand,HIL_KOC,,0.13,0.18,,0.04999999999999999,,38.46153846153845,0.155,0.03535533905932737,2,0,0.04999999999999999,38.46153846153845,1,0,0,1
Katkona 1 & 2,Chhattisgarh,SECL,,,0.22,,,,,0.22,,1,0,,,1,1,0,0
Katkona 1& 2,Chhattisgarh,SECL,0.23,0.25,,0.01999999999999999,,8.69565217391304,,0.24,0.014142135623730944,2,0,,,0,0,1,1
Katkona 3 & 4,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Kedla,Jharkhand,CCL,0.01,,,,,,,0.01,,1,0,,,0,1,1,0
