Mine Name,Company Name,State,District,Coalfield,Area,Mine Type,Ownership,CAAQMS_Source_Name,Environmental_Risk_Score,Environmental_Anomaly,Environmental_Record_Count,Environmental_Available,Producing Mine,Production_ZScore,Production_Anomaly,Data_Sufficient,Operational_Available,Safety_Evidence_Available,Safety_Evidence_Note,Evidence_Coverage,Evidence_Status,Confidence_Score,Confidence_Category,Mine_Type,Peer_Production_ZScore,Peer_Production_Anomaly,Peer_Operational_Risk,Peer_Production_Category,Peer_Production_Direction,Historical_Operational_Risk,Operational_Risk_Score,Safety_Risk_Score,Overall_Risk_Score,Risk_Category,Risk_Drivers,AI_Recommendation,Peer_Context_Explanation,Risk_Score_Type
Chinakuri Mine III,ECL,West Bengal,Bardhaman,Raniganj,Sodepur,Underground,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Underground,-0.4202854801825956,0,10.50713700456489,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Chirimiri,SECL,Chhattisgarh,KOREA,Central India,Chirimiri,Opencast,PUBLIC,,,0,,0,Chirimiri,0.0519013021118376,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.4049762573716626,0,10.124406434291569,Normal,Lower than peer average,1.29753255279594,1.29753255279594,,1.29753255279594,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Chitra East OCP,ECL,Jharkhand,DEOGHAR,Saherjuri Coalfield,S. P. Mines,Opencast,PUBLIC,,,0,,0,Chitra East OCP,0.5047950079127791,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.3047157687907731,0,7.617894219769328,Normal,Lower than peer average,12.619875197819477,12.619875197819477,,12.619875197819477,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Chora 10 Pit Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kenda,Underground,PUBLIC,,,0,,0,Chora 10 Pit Colliery,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.5048956557215556,0,12.622391393038887,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Chora 7&9 Pits Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kenda,Underground,PUBLIC,,,0,,0,Chora 7&9 Pits Colliery,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.4353944401002671,0,10.884861002506678,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Chora Block Incline UG & Shankarpur OC & Banbahal OC,ECL,West Bengal,Bardhaman,Raniganj,Kenda,Mixed,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Mixed,-0.284909132736969,0,7.122728318424225,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Churcha RO,SECL,Chhattisgarh,KOREA,Central India,Baikunthpur,Underground,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Underground,3.62589398576981,1,90.64734964424524,Highly Unusual,Higher than peer average,,,,,Insufficient Evidence,Peer production anomaly,Insufficient Evidence for Risk Assessment,Production is higher than peer average compared with the Underground peer group.,Prototype AI risk indicator - not an official regulatory classification
DVC Tubed Mines,DVC,Jharkhand,LATEHAR,Auranga,DVC Tubed,Opencast,PUBLIC,,,0,,0,DVC Tubed Mines,1.237133766229195,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.3343898428669809,0,8.359746071674524,Normal,Lower than peer average,30.928344155729874,30.928344155729874,,30.928344155729874,MEDIUM,No major risk indicator,Monitoring and Review Required,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Dabor Ph-II & III OC,ECL,West Bengal,Bardhaman,Mugma/Salanpur,Salanpur,Opencast,PUBLIC,,,0,,0,Dabor Ph-II & III OC,-0.0348230245308958,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.4840229398044546,0,12.100573495111364,Normal,Lower than peer average,0.870575613272395,0.870575613272395,,0.870575613272395,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Dakra Bukbuka OC,CCL,Jharkhand,RANCHI,N.K.Coalfields,North Karanpura,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.489326391341479,0,12.233159783536976,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Dalurband OC,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.4342715134809401,0,10.856787837023504,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Damini,SECL,Madhya Pradesh,SHAHDOL,Central India,Sohagpur,Underground,PUBLIC,,,0,,0,Damini,-0.2082716778163628,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,0.1719857485901239,0,4.299643714753099,Normal,Higher than peer average,5.20679194540907,5.20679194540907,,5.20679194540907,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Damoda,BCCL,Jharkhand,DHANBAD,Jharia,Barora,Opencast,PUBLIC,,,0,,0,Damoda,-0.1600914963481775,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.4561166829072549,0,11.402917072681372,Normal,Lower than peer average,4.002287408704437,4.002287408704437,,4.002287408704437,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Dhankasa & Jamunia,WCL,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,Pench,Underground,PUBLIC,,,0,,0,Dhankasa & Jamunia,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.6287891270464613,0,15.719728176161532,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Dhanpuri,SECL,Madhya Pradesh,SHAHDOL,Central India,Sohagpur,Opencast,PUBLIC,,,0,,0,Dhanpuri,-0.5744410569745708,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.5101613795226462,0,12.754034488066154,Normal,Lower than peer average,14.36102642436427,14.36102642436427,,14.36102642436427,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Dhelwadih Colliery,SECL,Chhattisgarh,KORBA,Central India,Korba,Underground,PUBLIC,,,0,,0,Dhelwadih Colliery,-0.1889996052290887,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.0093217704219331,0,0.2330442605483287,Normal,Lower than peer average,4.7249901307272175,4.7249901307272175,,4.7249901307272175,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Dhemomain Incl Colliery,ECL,West Bengal,Bardhaman,Raniganj,Sodepur,Underground,PUBLIC,,,0,,0,Dhemomain Incl Colliery,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.5592879114251728,0,13.98219778562932,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Dhemomain Pit Colliery,ECL,West Bengal,Bardhaman,Raniganj,Sodepur,Underground,PUBLIC,,,0,,0,Dhemomain Pit Colliery,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.5532443274581041,0,13.831108186452605,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Dhoptala OC (Sasti Colliery),WCL,Maharashtra,CHANDRAPUR,Wardha,Ballarpur,Opencast,PUBLIC,,,0,,0,Dhoptala OC (Sasti Colliery),0.7456959152537054,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.3140599453083875,0,7.851498632709688,Normal,Lower than peer average,18.642397881342635,18.642397881342635,,18.642397881342635,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Dhori Khas(UG),CCL,Jharkhand,BOKARO,E. Bokaro,Dhori Area,Underground,PUBLIC,,,0,,0,Dhori Khas(UG),-0.1889996052290887,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.2178254172857986,0,5.445635432144966,Normal,Lower than peer average,4.7249901307272175,4.7249901307272175,,4.7249901307272175,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Dipka,SECL,Chhattisgarh,KORBA,Central India,Dipka,Opencast,PUBLIC,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,26.735707203797688,0,24.0,1,Dipka,1.025140967769183,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,100.0,Environmental + Operational,100.0,High,Opencast,3.693329054191752,1,92.33322635479378,Highly Unusual,Higher than peer average,25.628524194229573,25.628524194229573,,26.366646200608315,LOW,Peer production anomaly,No Immediate High-Risk Indicator Detected,Production is higher than peer average compared with the Opencast peer group.,Prototype AI risk indicator - not an official regulatory classification
Dubeswari Colliery,ECL,West Bengal,PURULIA,Raniganj,Sodepur,Underground,PUBLIC,,,0,,0,Dubeswari Colliery,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.4716559439026785,0,11.791398597566962,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Dudhichua Project,NCL,Uttar Pradesh,SONBHADRA,Singrauli,Dudhichua,Opencast,PUBLIC,,,0,,0,Dudhichua Project,1.6996635083237726,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,0.644475783680948,0,16.111894592023702,Normal,Higher than peer average,42.491587708094315,42.491587708094315,,42.491587708094315,MEDIUM,No major risk indicator,Monitoring and Review Required,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Dulanga Coal Mining Project,NTPC,Odisha,SUNDARGARH,IB Vlley,Dulanga,Opencast,PUBLIC,,,0,,0,Dulanga Coal Mining Project,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,0.3575843100590575,0,8.939607751476439,Normal,Higher than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Durgapur Open Cast,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,Opencast,PUBLIC,,,0,,0,Durgapur Open Cast,0.5433391530873273,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.210642640336412,0,5.2660660084103,Normal,Lower than peer average,13.583478827183182,13.583478827183182,,13.583478827183182,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Durgapur Rayatwari Colly,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,Underground,PUBLIC,,,0,,0,Durgapur Rayatwari Colly,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.3266099286930329,0,8.165248217325823,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
E.Basuria,BCCL,Jharkhand,DHANBAD,Jharia,Kusunda,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.5083935623436381,0,12.709839058590951,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Ena,BCCL,Jharkhand,DHANBAD,Jharia,Kusunda,Opencast,PUBLIC,,,0,,0,Ena,0.2349859916909417,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.14775885782598,0,3.6939714456495008,Normal,Lower than peer average,5.874649792273543,5.874649792273543,,5.874649792273543,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
G & G B Coal Mine,WBPDCL,West Bengal,BIRBHUM,Raniganj,Gangaramchak,Opencast,PUBLIC,,,0,,0,G & G B Coal Mine,1.5358508913319435,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.1475063125146931,0,3.6876578128673296,Normal,Lower than peer average,38.396272283298586,38.396272283298586,,38.396272283298586,MEDIUM,No major risk indicator,Monitoring and Review Required,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
GP-IV-8 Coal Mine,AMBUJA,Chhattisgarh,RAIGARH,Mand Raigarh,Raigarh,Underground,PRIVATE,,,0,,0,GP-IV-8 Coal Mine,-0.439536548863652,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,2.241913257311108,1,56.0478314327777,Unusual,Higher than peer average,10.9884137215913,10.9884137215913,,10.9884137215913,LOW,Peer production anomaly,No Immediate High-Risk Indicator Detected,Production is higher than peer average compared with the Underground peer group.,Prototype AI risk indicator - not an official regulatory classification
Gare Palma IV 6,JSPL,Chhattisgarh,RAIGARH,Mand-Raigarh,Raigarh,Opencast,PRIVATE,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.2986546813198881,0,7.466367032997202,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gare Palma IV-2&3,BALCO,Chhattisgarh,KORBA,Hasdeo-Arand,Korba,Opencast,PRIVATE,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.4000516238015685,0,10.001290595039212,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gare Palma IV/1,JPL,Chhattisgarh,RAIGARH,Mand Raigarh,Gare Palma,Opencast,PRIVATE,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,0.3822074779095279,0,9.5551869477382,Normal,Higher than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gare Palma IV/2&3,JPL,Chhattisgarh,RAIGARH,Mand- Raigarh,Gare Palma,Opencast,PRIVATE,,,0,,0,Gare Palma IV/2&3,-2.0198465010201287,1,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.5061206545420562,0,12.653016363551403,Normal,Lower than peer average,50.496162525503216,50.496162525503216,,50.496162525503216,MEDIUM,No major risk indicator,Monitoring and Review Required,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gare Palma IV/7,SEML,Chhattisgarh,RAIGARH,Mand Raigarh,Tamnar Tehsil,Opencast,PRIVATE,,,0,,0,Gare Palma IV/7,0.0326292295245634,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.344491655318456,0,8.6122913829614,Normal,Lower than peer average,0.815730738114085,0.815730738114085,,0.815730738114085,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gare Palma Sector III,CSPGCL,Chhattisgarh,RAIGARH,Mand Raigarh,Raigarh,Opencast,PUBLIC,,,0,,0,Gare Palma Sector III,0.1675337376354821,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.0208548389043251,0,0.521370972608129,Normal,Lower than peer average,4.188343440887053,4.188343440887053,,4.188343440887053,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Garjanbahal OCP,MCL,Odisha,SUNDARGARH,IB Valley,Basundhara,Opencast,PUBLIC,,,0,,0,Garjanbahal OCP,0.6782436611982461,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,1.7718380532655598,0,44.295951331639,Normal,Higher than peer average,16.95609152995615,16.95609152995615,,16.95609152995615,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gayatri,SECL,Chhattisgarh,SURGUJA,Central India,Bisrampur,Underground,PUBLIC,,,0,,0,Gayatri,0.1771697739291192,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,1.1208284314198889,0,28.020710785497226,Normal,Higher than peer average,4.42924434822798,4.42924434822798,,4.42924434822798,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gevra,SECL,Chhattisgarh,KORBA,Central India,Gevra,Opencast,PUBLIC,SECL GEVRA,66.79246063439777,1,23.0,1,Gevra,6.170784348571366,1,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,100.0,Environmental + Operational,100.0,High,Opencast,6.9372735776716645,1,100.0,Highly Unusual,Higher than peer average,100.0,100.0,,77.86164042293184,HIGH,"Environmental indicator, Operational indicator, Peer production anomaly",Further Assessment Required,Production is higher than peer average compared with the Opencast peer group.,Prototype AI risk indicator - not an official regulatory classification
"Ghonsa,",WCL,Maharashtra,YAVATMAL,Wardha Valley,Wani North,Opencast,PUBLIC,,,0,,0,"Ghonsa,",-0.0637311334118071,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.4505606860589436,0,11.26401715147359,Normal,Lower than peer average,1.5932783352951774,1.5932783352951774,,1.5932783352951774,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gidi `A',CCL,Jharkhand,HAZARIBAGH,S.K.Coalfields,Argada,Opencast,PUBLIC,,,0,,0,Gidi `A',0.0519013021118376,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.463945587557148,0,11.5986396889287,Normal,Lower than peer average,1.29753255279594,1.29753255279594,,1.29753255279594,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gidi `C',CCL,Jharkhand,HAZARIBAGH,S.K.Coalfields,Argada,Opencast,PUBLIC,,,0,,0,Gidi `C',-0.0830032059990811,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.450686958714587,0,11.267173967864675,Normal,Lower than peer average,2.0750801499770275,2.0750801499770275,,2.0750801499770275,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Giridih OC,CCL,Jharkhand,GIRIDIH,Giridih,Giridih OC,Opencast,PUBLIC,,,0,,0,Giridih OC,-0.3913563673954668,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average,9.78390918488667,9.78390918488667,,9.78390918488667,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Godavari Khani 1 & 3,SCCL,Telangana,KHAMMAM,Godavari Valley,Ramagundam-I,Underground,PUBLIC,,,0,,0,Godavari Khani-1 & 3,-0.2082716778163627,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.1181062818291672,0,2.952657045729182,Normal,Lower than peer average,5.206791945409067,5.206791945409067,,5.206791945409067,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Godavari Khani-11 Incline,SCCL,Telangana,PEDDAPALLI,Godavari Valley,Ramagundam-I,Underground,PUBLIC,,,0,,0,Godavari Khani-11 Incline,-0.4202644762763778,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,1.2024168149753145,0,30.06042037438286,Normal,Higher than peer average,10.506611906909445,10.506611906909445,,10.506611906909445,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Godavari Khani-2 & 2A,SCCL,Telangana,KHAMMAM,Godavari Valley,Ramagundam-I,Underground,PUBLIC,,,0,,0,Godavari Khani-2 & 2A,-0.2179077141099998,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,0.0208961494134097,0,0.5224037353352428,Normal,Higher than peer average,5.447692852749995,5.447692852749995,,5.447692852749995,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Godavarikhani V OC,SCCL,Telangana,PEDDAPALLI,Godavari Valley,Ramagundam-I,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.0837386214147571,0,2.093465535368929,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gokul OC Mine + Gokul Extn.,WCL,Maharashtra,NAGPUR,Umrer,Umrer,Opencast,PUBLIC,,,0,,0,Gokul OC Mine + Gokul Extn.,-0.2660878955781849,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.2981495906973143,0,7.453739767432858,Normal,Lower than peer average,6.6521973894546225,6.6521973894546225,,6.6521973894546225,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gondudih/Khas Kusunda,BCCL,Jharkhand,DHANBAD,Jharia,Kusunda,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.3432289287620215,0,8.580723219050538,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gopalichuck,BCCL,Jharkhand,DHANBAD,Jharia,P.B.Project,Opencast,PUBLIC,,,0,,0,Gopalichuck,-0.0155509519436218,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.4811186687246555,0,12.027966718116389,Normal,Lower than peer average,0.388773798590545,0.388773798590545,,0.388773798590545,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gopinathpur,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,Opencast,PUBLIC,,,0,,0,Gopinathpur,-0.2082716778163628,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average,5.20679194540907,5.20679194540907,,5.20679194540907,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Gotitoria E & W,BSMPL,Madhya Pradesh,Narsinghpur,Mohpani,Dharamsthal,Opencast,PRIVATE,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.4884424827519749,0,12.211062068799372,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
