Producing Mine,State,Company,Production_2021_22,Production_2022_23,Production_2023_24,Change_2021_22_to_2022_23,Change_2022_23_to_2023_24,Percentage_Change_21_22_to_22_23,Percentage_Change_22_23_to_23_24,Production_Mean,Production_Std,Observation_Count,Zero_Production_Count,Latest_Production_Change,Latest_Percentage_Change,Production_ZScore,Absolute_Production_ZScore,Production_Anomaly,Production_Change_Direction,Production_Anomaly_Category,Production_Anomaly_Reason,Data_Sufficient
Mohan (Mohan UG),Madhya Pradesh,WCL,,0.15,0.04,,-0.1099999999999999,,-73.33333333333333,0.095,0.0777817459305202,2,0,-0.1099999999999999,-73.33333333333333,-0.3046320407527332,0.3046320407527332,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
ROCP/S. Jharia,Jharkhand,BCCL,1.09,1.64,2.16,0.5499999999999998,0.5200000000000002,50.45871559633025,31.70731707317075,1.63,0.5350700888668698,3,0,0.5200000000000002,31.70731707317075,0.3024382457464012,0.3024382457464012,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Kapildhara,Madhya Pradesh,SECL,0.14,0.13,0.03,-0.01,-0.1,-7.142857142857148,-76.92307692307693,0.1,0.0608276253029822,3,0,-0.1,-76.92307692307693,-0.29499600445909624,0.29499600445909624,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Amadand,Madhya Pradesh,SECL,0.0,0.87,1.38,0.87,0.5099999999999999,,58.6206896551724,0.75,0.6977822009767803,3,1,0.5099999999999999,58.6206896551724,0.2928022094527638,0.2928022094527638,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Manoharpur Coal Mine,Odisha,OCPL,5.25,8.0,8.51,2.75,0.5099999999999998,52.38095238095239,6.374999999999997,7.253333333333333,1.7535772960817362,3,0,0.5099999999999998,6.374999999999997,0.2928022094527637,0.2928022094527637,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Kapasara,Jharkhand,ECL,0.32,0.13,0.04,-0.19,-0.09,-59.375,-69.23076923076923,0.1633333333333333,0.1429452109492771,3,0,-0.09,-69.23076923076923,-0.2853599681654592,0.2853599681654592,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Khottadih OCP,West Bengal,ECL,,0.53,0.44,,-0.09,,-16.981132075471702,0.485,0.0636396103067893,2,0,-0.09,-16.981132075471702,-0.2853599681654592,0.2853599681654592,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Gare Palma IV/4 Coal Mine,Chhattisgarh,HIL_GP_IV/4,,0.56,0.47,,-0.09,,-16.071428571428584,0.515,0.0636396103067893,2,0,-0.09,-16.071428571428584,-0.2853599681654592,0.2853599681654592,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Marki Mangli -III,Maharashtra,BSIL,,0.2,0.11,,-0.09,,-45.0,0.155,0.0636396103067892,2,0,-0.09,-45.0,-0.2853599681654592,0.2853599681654592,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Itapara OC Patch,West Bengal,ECL,0.52,0.3,0.21,-0.22,-0.09,-42.30769230769232,-30.0,0.3433333333333333,0.1594783161854091,3,0,-0.09,-30.0,-0.2853599681654592,0.2853599681654592,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Chhatarpur -II,Madhya Pradesh,WCL,0.07,0.13,0.05,0.06,-0.08,85.7142857142857,-61.53846153846154,0.0833333333333333,0.0416333199893226,3,0,-0.08,-61.53846153846154,-0.2757239318718222,0.2757239318718222,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Manki/Churi,Jharkhand,CCL,0.58,0.71,0.63,0.13,-0.0799999999999999,22.41379310344828,-11.26760563380281,0.64,0.06557438524302,3,0,-0.0799999999999999,-11.26760563380281,-0.2757239318718221,0.2757239318718221,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Basantimata -Dahibari,Jharkhand,BCCL,0.78,0.63,0.55,-0.15,-0.0799999999999999,-19.230769230769237,-12.698412698412692,0.6533333333333334,0.1167618659209133,3,0,-0.0799999999999999,-12.698412698412692,-0.2757239318718221,0.2757239318718221,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Kalyan Khani OC,Telangana,SCCL,1.76,1.85,1.78,0.09,-0.07,5.113636363636368,-3.783783783783787,1.7966666666666669,0.0472581562625261,3,0,-0.07,-3.783783783783787,-0.26608789557818513,0.26608789557818513,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Moonidih,Jharkhand,BCCL,0.59,0.55,0.48,-0.0399999999999999,-0.07,-6.77966101694914,-12.727272727272736,0.54,0.0556776436283002,3,0,-0.07,-12.727272727272736,-0.26608789557818513,0.26608789557818513,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Gokul OC Mine + Gokul Extn.,Maharashtra,WCL,,1.88,1.81,,-0.0699999999999998,,-3.723404255319141,1.845,0.0494974746830582,2,0,-0.0699999999999998,-3.723404255319141,-0.2660878955781849,0.2660878955781849,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Rajnagar RO,Madhya Pradesh,SECL,0.21,0.19,0.13,-0.0199999999999999,-0.06,-9.523809523809518,-31.57894736842105,0.1766666666666666,0.0416333199893226,3,0,-0.06,-31.57894736842105,-0.25645185928454806,0.25645185928454806,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Bijuri,Madhya Pradesh,SECL,0.12,0.14,0.09,0.02,-0.05,16.666666666666682,-35.71428571428572,0.1166666666666666,0.0251661147842358,3,0,-0.05,-35.71428571428572,-0.246815822990911,0.246815822990911,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Ravindra Khani-1A Incline,Telangana,SCCL,,0.07,0.02,,-0.05,,-71.42857142857143,0.045,0.0353553390593273,2,0,-0.05,-71.42857142857143,-0.246815822990911,0.246815822990911,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Bagdeva,Chhattisgarh,SECL,,0.34,0.29,,-0.05,,-14.705882352941188,0.315,0.0353553390593274,2,0,-0.05,-14.705882352941188,-0.246815822990911,0.246815822990911,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Jamuna RO,Madhya Pradesh,SECL,0.09,0.06,0.01,-0.03,-0.0499999999999999,-33.33333333333333,-83.33333333333333,0.0533333333333333,0.0404145188432738,3,0,-0.0499999999999999,-83.33333333333333,-0.2468158229909109,0.2468158229909109,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Tandsi,Madhya Pradesh,WCL,0.16,0.09,0.04,-0.07,-0.0499999999999999,-43.75000000000001,-55.55555555555556,0.0966666666666666,0.060277137733417,3,0,-0.0499999999999999,-55.55555555555556,-0.2468158229909109,0.2468158229909109,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Tawa-II,Madhya Pradesh,WCL,0.35,0.46,0.42,0.11,-0.04,31.428571428571445,-8.69565217391305,0.41,0.0556776436283002,3,0,-0.04,-8.69565217391305,-0.237179786697274,0.237179786697274,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Mahadeopuri,Madhya Pradesh,WCL,0.08,0.07,0.03,-0.0099999999999999,-0.04,-12.499999999999991,-57.14285714285715,0.06,0.0264575131106459,3,0,-0.04,-57.14285714285715,-0.237179786697274,0.237179786697274,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Bhatgaon,Chhattisgarh,SECL,0.27,0.23,0.19,-0.04,-0.04,-14.814814814814817,-17.39130434782609,0.2299999999999999,0.04,3,0,-0.04,-17.39130434782609,-0.237179786697274,0.237179786697274,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Bansra Colliery,West Bengal,ECL,0.26,0.17,0.13,-0.09,-0.04,-34.61538461538461,-23.529411764705884,0.1866666666666666,0.0665832811847939,3,0,-0.04,-23.529411764705884,-0.237179786697274,0.237179786697274,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Rehar,Chhattisgarh,SECL,0.1,0.07,0.03,-0.03,-0.04,-30.0,-57.14285714285715,0.0666666666666666,0.0351188458428424,3,0,-0.04,-57.14285714285715,-0.237179786697274,0.237179786697274,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Belgaon Coal Mine,Maharashtra,SIL,,0.19,0.15,,-0.04,,-21.052631578947373,0.1699999999999999,0.0282842712474619,2,0,-0.04,-21.052631578947373,-0.237179786697274,0.237179786697274,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
West Jhagrakhand,Chhattisgarh,SECL,0.12,0.12,0.08,0.0,-0.0399999999999999,0.0,-33.33333333333333,0.1066666666666666,0.023094010767585,3,0,-0.0399999999999999,-33.33333333333333,-0.23717978669727388,0.23717978669727388,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Ballarpur 3 & 4 Pits,Maharashtra,WCL,0.09,0.11,0.07,0.02,-0.0399999999999999,22.222222222222225,-36.36363636363636,0.09,0.0199999999999999,3,0,-0.0399999999999999,-36.36363636363636,-0.23717978669727388,0.23717978669727388,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Ena,Jharkhand,BCCL,1.0,2.55,3.0,1.5499999999999998,0.4500000000000002,154.99999999999997,17.64705882352942,2.183333333333333,1.0492060490358095,3,0,0.4500000000000002,17.64705882352942,0.23498599169094178,0.23498599169094178,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Trans Damodar Coal Mine,West Bengal,DPL,0.51,0.55,1.0,0.04,0.4499999999999999,7.843137254901968,81.8181818181818,0.6866666666666666,0.2720906711619002,3,0,0.4499999999999999,81.8181818181818,0.2349859916909415,0.2349859916909415,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
West Bokaro OC Quarry-SE,Jharkhand,TSLWB,,4.86,4.83,,-0.0300000000000002,,-0.617283950617289,4.845000000000001,0.0212132034355966,2,0,-0.0300000000000002,-0.617283950617289,-0.2275437504036371,0.2275437504036371,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Nehariya,Madhya Pradesh,WCL,0.25,0.28,0.25,0.03,-0.03,12.00000000000001,-10.714285714285724,0.26,0.0173205080756887,3,0,-0.03,-10.714285714285724,-0.22754375040363692,0.22754375040363692,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Navapara,Chhattisgarh,SECL,0.1,0.08,0.05,-0.02,-0.03,-20.000000000000004,-37.5,0.0766666666666666,0.0251661147842358,3,0,-0.03,-37.5,-0.22754375040363692,0.22754375040363692,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Jambad UG Colliery,West Bengal,ECL,0.14,0.14,0.11,0.0,-0.03,0.0,-21.428571428571438,0.13,0.0173205080756887,3,0,-0.03,-21.428571428571438,-0.22754375040363692,0.22754375040363692,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Kakatiya Khani-1 & 1A Incline,Telangana,SCCL,,0.25,0.22,,-0.03,,-12.0,0.235,0.0212132034355964,2,0,-0.03,-12.0,-0.22754375040363692,0.22754375040363692,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Surakachhar,Chhattisgarh,SECL,0.17,0.06,0.03,-0.11,-0.03,-64.70588235294117,-50.0,0.0866666666666666,0.0737111479583199,3,0,-0.03,-50.0,-0.22754375040363692,0.22754375040363692,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Khas Kajora Colliery,West Bengal,ECL,0.16,0.17,0.14,0.01,-0.03,6.250000000000005,-17.64705882352941,0.1566666666666666,0.0152752523165194,3,0,-0.03,-17.64705882352941,-0.22754375040363692,0.22754375040363692,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
"Kakatiya Khani-6, Incline",Telangana,SCCL,0.14,0.15,0.12,0.0099999999999999,-0.03,7.142857142857128,-20.0,0.1366666666666667,0.0152752523165194,3,0,-0.03,-20.0,-0.22754375040363692,0.22754375040363692,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Piparia,Madhya Pradesh,SECL,0.09,0.11,0.08,0.02,-0.03,22.222222222222225,-27.27272727272727,0.0933333333333333,0.0152752523165194,3,0,-0.03,-27.27272727272727,-0.22754375040363692,0.22754375040363692,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Bankola Colliery,West Bengal,ECL,0.17,0.19,0.16,0.0199999999999999,-0.03,11.764705882352937,-15.789473684210526,0.1733333333333333,0.0152752523165194,3,0,-0.03,-15.789473684210526,-0.22754375040363692,0.22754375040363692,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Rajrappa Project,Jharkhand,CCL,0.88,1.33,1.3,0.45,-0.03,51.13636363636365,-2.2556390977443628,1.17,0.2515949125081825,3,0,-0.03,-2.2556390977443628,-0.22754375040363692,0.22754375040363692,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Sankarpur Colliery,West Bengal,ECL,0.25,0.22,0.19,-0.03,-0.03,-12.0,-13.636363636363637,0.2199999999999999,0.03,3,0,-0.03,-13.636363636363637,-0.22754375040363692,0.22754375040363692,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Bhadra,Madhya Pradesh,SECL,0.1,0.13,0.1,0.03,-0.03,30.0,-23.07692307692308,0.11,0.0173205080756887,3,0,-0.03,-23.07692307692308,-0.22754375040363692,0.22754375040363692,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Balgi,Chhattisgarh,SECL,0.08,0.07,0.05,-0.0099999999999999,-0.02,-12.499999999999991,-28.571428571428577,0.0666666666666666,0.0152752523165194,3,0,-0.02,-28.571428571428577,-0.21790771410999984,0.21790771410999984,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Satgram Project,West Bengal,ECL,0.05,0.05,0.03,0.0,-0.02,0.0,-40.00000000000001,0.0433333333333333,0.0115470053837925,3,0,-0.02,-40.00000000000001,-0.21790771410999984,0.21790771410999984,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Vindhya,Madhya Pradesh,SECL,0.51,0.49,0.47,-0.02,-0.02,-3.921568627450984,-4.081632653061228,0.49,0.02,3,0,-0.02,-4.081632653061228,-0.21790771410999984,0.21790771410999984,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Khottadih UG,West Bengal,ECL,,0.54,0.52,,-0.02,,-3.703703703703707,0.53,0.0141421356237309,2,0,-0.02,-3.703703703703707,-0.21790771410999984,0.21790771410999984,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Kunustoria Colliery,West Bengal,ECL,0.1,0.1,0.08,0.0,-0.02,0.0,-20.000000000000004,0.0933333333333333,0.0115470053837925,3,0,-0.02,-20.000000000000004,-0.21790771410999984,0.21790771410999984,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Amalgameted Sudamdih-Patherdih,Jharkhand,BCCL,0.41,0.43,0.41,0.02,-0.02,4.878048780487809,-4.651162790697678,0.4166666666666667,0.0115470053837925,3,0,-0.02,-4.651162790697678,-0.21790771410999984,0.21790771410999984,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
"Ravindra Khani-New Tech,",Telangana,SCCL,0.27,0.18,0.16,-0.09,-0.0199999999999999,-33.33333333333334,-11.111111111111107,0.2033333333333333,0.0585946527708231,3,0,-0.0199999999999999,-11.111111111111107,-0.2179077141099998,0.2179077141099998,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Sial Ghogri Coal Mine,Madhya Pradesh,RCCPL,0.21,0.35,0.33,0.1399999999999999,-0.0199999999999999,66.66666666666666,-5.714285714285704,0.2966666666666666,0.0757187779440036,3,0,-0.0199999999999999,-5.714285714285704,-0.2179077141099998,0.2179077141099998,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Ravindra Khani-5 Incline,Telangana,SCCL,0.29,0.3,0.28,0.01,-0.0199999999999999,3.448275862068969,-6.666666666666654,0.29,0.0099999999999999,3,0,-0.0199999999999999,-6.666666666666654,-0.2179077141099998,0.2179077141099998,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Central Kajora Colliery,West Bengal,ECL,0.08,0.09,0.07,0.0099999999999999,-0.0199999999999999,12.499999999999991,-22.22222222222221,0.08,0.0099999999999999,3,0,-0.0199999999999999,-22.22222222222221,-0.2179077141099998,0.2179077141099998,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Parej East OCP,Jharkhand,CCL,0.4,0.42,0.4,0.0199999999999999,-0.0199999999999999,4.99999999999999,-4.761904761904753,0.4066666666666667,0.0115470053837924,3,0,-0.0199999999999999,-4.761904761904753,-0.2179077141099998,0.2179077141099998,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Godavari Khani-2 & 2A,Telangana,SCCL,0.27,0.24,0.22,-0.03,-0.0199999999999999,-11.11111111111112,-8.33333333333333,0.2433333333333333,0.0251661147842358,3,0,-0.0199999999999999,-8.33333333333333,-0.2179077141099998,0.2179077141099998,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Kakatiya Khani-8 & 8A Incline,Telangana,SCCL,,0.19,0.17,,-0.0199999999999999,,-10.52631578947368,0.18,0.0141421356237309,2,0,-0.0199999999999999,-10.52631578947368,-0.2179077141099998,0.2179077141099998,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
J. K. Nagar Colliery,West Bengal,ECL,0.17,0.16,0.14,-0.01,-0.0199999999999999,-5.8823529411764754,-12.499999999999991,0.1566666666666666,0.0152752523165194,3,0,-0.0199999999999999,-12.499999999999991,-0.2179077141099998,0.2179077141099998,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
K. Dewarkhand,Jharkhand,CCL,0.95,0.43,0.86,-0.52,0.43,-54.736842105263165,100.0,0.7466666666666666,0.2779088579612627,3,0,0.43,100.0,0.2157139191036675,0.2157139191036675,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Singhali Colliery,Chhattisgarh,SECL,0.18,0.13,0.12,-0.0499999999999999,-0.01,-27.77777777777777,-7.692307692307699,0.1433333333333333,0.0321455025366431,3,0,-0.01,-7.692307692307699,-0.20827167781636283,0.20827167781636283,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Damini,Madhya Pradesh,SECL,0.3,0.28,0.27,-0.0199999999999999,-0.01,-6.666666666666654,-3.571428571428574,0.2833333333333334,0.0152752523165194,3,0,-0.01,-3.571428571428574,-0.20827167781636283,0.20827167781636283,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Kakatiya Khani-5 Incline,Telangana,SCCL,0.24,0.22,0.21,-0.0199999999999999,-0.01,-8.33333333333333,-4.545454545454549,0.2233333333333333,0.0152752523165194,3,0,-0.01,-4.545454545454549,-0.20827167781636283,0.20827167781636283,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
"Bhelatand Colliery,",Jharkhand,TSLJH,,0.23,0.22,,-0.01,,-4.347826086956525,0.225,0.0070710678118654,2,0,-0.01,-4.347826086956525,-0.20827167781636283,0.20827167781636283,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Manna Incline,Maharashtra,WCL,0.07,0.01,0.0,-0.06,-0.01,-85.71428571428571,-100.0,0.0266666666666666,0.0378593889720018,3,1,-0.01,-100.0,-0.20827167781636283,0.20827167781636283,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Parbelia Colliery,West Bengal,ECL,0.05,0.05,0.04,0.0,-0.01,0.0,-20.000000000000004,0.0466666666666666,0.0057735026918962,3,0,-0.01,-20.000000000000004,-0.20827167781636283,0.20827167781636283,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Porascol West Colliery,West Bengal,ECL,0.08,0.07,0.06,-0.0099999999999999,-0.01,-12.499999999999991,-14.285714285714295,0.07,0.01,3,0,-0.01,-14.285714285714295,-0.20827167781636283,0.20827167781636283,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Khandra Colliery,West Bengal,ECL,0.08,0.1,0.09,0.02,-0.01,25.000000000000007,-10.000000000000009,0.09,0.01,3,0,-0.01,-10.000000000000009,-0.20827167781636283,0.20827167781636283,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Kumda 7 & 8,Chhattisgarh,SECL,0.02,0.02,0.01,0.0,-0.01,0.0,-50.0,0.0166666666666666,0.0057735026918962,3,0,-0.01,-50.0,-0.20827167781636283,0.20827167781636283,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Vishnupuri-II,Madhya Pradesh,WCL,0.07,0.1,0.09,0.03,-0.01,42.85714285714285,-10.000000000000009,0.0866666666666666,0.0152752523165194,3,0,-0.01,-10.000000000000009,-0.20827167781636283,0.20827167781636283,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Gopinathpur,Jharkhand,ECL,0.1,0.01,0.0,-0.09,-0.01,-90.0,-100.0,0.0366666666666666,0.055075705472861,3,1,-0.01,-100.0,-0.20827167781636283,0.20827167781636283,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Tilaboni Colliery,West Bengal,ECL,0.13,0.13,0.12,0.0,-0.01,0.0,-7.692307692307699,0.1266666666666666,0.0057735026918962,3,0,-0.01,-7.692307692307699,-0.20827167781636283,0.20827167781636283,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Umaria,Madhya Pradesh,SECL,0.11,0.13,0.12,0.02,-0.01,18.181818181818183,-7.692307692307699,0.12,0.01,3,0,-0.01,-7.692307692307699,-0.20827167781636283,0.20827167781636283,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
"Govindpur,",Jharkhand,CCL,0.03,0.03,0.02,0.0,-0.0099999999999999,0.0,-33.33333333333333,0.0266666666666666,0.0057735026918962,3,0,-0.0099999999999999,-33.33333333333333,-0.20827167781636272,0.20827167781636272,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Tawa Mine,Madhya Pradesh,WCL,,0.29,0.28,,-0.0099999999999999,,-3.4482758620689493,0.285,0.0070710678118654,2,0,-0.0099999999999999,-3.4482758620689493,-0.20827167781636272,0.20827167781636272,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Ravindra Khani-6 Incline,Telangana,SCCL,0.3,0.21,0.2,-0.09,-0.0099999999999999,-30.0,-4.761904761904753,0.2366666666666666,0.055075705472861,3,0,-0.0099999999999999,-4.761904761904753,-0.20827167781636272,0.20827167781636272,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Porascol East Colliery,West Bengal,ECL,0.06,0.08,0.07,0.02,-0.0099999999999999,33.33333333333334,-12.499999999999991,0.07,0.01,3,0,-0.0099999999999999,-12.499999999999991,-0.20827167781636272,0.20827167781636272,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Godavari Khani-1 & 3,Telangana,SCCL,0.17,0.18,0.17,0.0099999999999999,-0.0099999999999999,5.88235294117646,-5.555555555555546,0.1733333333333333,0.0057735026918962,3,0,-0.0099999999999999,-5.555555555555546,-0.20827167781636272,0.20827167781636272,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Amritnagar Colliery,West Bengal,ECL,0.09,0.06,0.05,-0.03,-0.0099999999999999,-33.33333333333333,-16.66666666666666,0.0666666666666666,0.0208166599946613,3,0,-0.0099999999999999,-16.66666666666666,-0.20827167781636272,0.20827167781636272,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Siduli Colliery,West Bengal,ECL,0.07,0.06,0.05,-0.01,-0.0099999999999999,-14.285714285714295,-16.66666666666666,0.06,0.01,3,0,-0.0099999999999999,-16.66666666666666,-0.20827167781636272,0.20827167781636272,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Ramakrishnapur OC,Telangana,SCCL,2.2,1.88,1.87,-0.3200000000000003,-0.0099999999999997,-14.545454545454556,-0.5319148936170099,1.9833333333333332,0.1877054430040146,3,0,-0.0099999999999997,-0.5319148936170099,-0.20827167781636252,0.20827167781636252,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Nigahi Project,Madhya Pradesh,NCL,21.0,22.5,22.5,1.5,0.0,7.142857142857142,0.0,22.0,0.8660254037844386,3,0,0.0,0.0,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Patansaongi Colliery,Maharashtra,WCL,0.05,0.04,0.04,-0.01,0.0,-20.000000000000004,0.0,0.0433333333333333,0.0057735026918962,3,0,0.0,0.0,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Barjora Coal Mine,West Bengal,WBPDCL_B,,0.5,0.5,,0.0,,0.0,0.5,0.0,2,0,0.0,0.0,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Belbaid Colliery,West Bengal,ECL,0.05,0.04,0.04,-0.01,0.0,-20.000000000000004,0.0,0.0433333333333333,0.0057735026918962,3,0,0.0,0.0,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Pindra Colliery,Jharkhand,CCL,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3,3,0.0,,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Nowrozabad (W),Madhya Pradesh,SECL,0.09,0.1,0.1,0.01,0.0,11.11111111111112,0.0,0.0966666666666666,0.0057735026918962,3,0,0.0,0.0,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Bejdih Colliery,West Bengal,ECL,0.03,0.04,0.04,0.01,0.0,33.33333333333334,0.0,0.0366666666666666,0.0057735026918962,3,0,0.0,0.0,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Ningah Colliery,West Bengal,ECL,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.0,3,0,0.0,0.0,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Basdeopur,Jharkhand,BCCL,,0.14,0.14,,0.0,,0.0,0.14,0.0,2,0,0.0,0.0,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Chainpur(Sarubera) Colly.,Jharkhand,CCL,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3,3,0.0,,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Chapuikhas Colliery,West Bengal,ECL,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.0,3,0,0.0,0.0,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Chora 10 Pit Colliery,West Bengal,ECL,0.03,0.04,0.04,0.01,0.0,33.33333333333334,0.0,0.0366666666666666,0.0057735026918962,3,0,0.0,0.0,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Nandira Colliery,Odisha,MCL,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.0,3,0,0.0,0.0,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Narsamuda Colliery,West Bengal,ECL,0.03,0.05,0.05,0.02,0.0,66.66666666666669,0.0,0.0433333333333333,0.0115470053837925,3,0,0.0,0.0,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
Kulda OCP Balinga,Odisha,MCL,18.5,21.0,21.0,2.5,0.0,13.513513513513514,0.0,20.166666666666668,1.4433756729740643,3,0,0.0,0.0,-0.19863564152272575,0.19863564152272575,0,No Change,Normal,Latest production change is within the normal range of observed production changes.,True
