Producing Mine,State,Company,Production_2021_22,Production_2022_23,Production_2023_24,Change_2021_22_to_2022_23,Change_2022_23_to_2023_24,Percentage_Change_21_22_to_22_23,Percentage_Change_22_23_to_23_24,Production_Mean,Production_Std,Observation_Count,Zero_Production_Count,Latest_Production_Change,Latest_Percentage_Change,Production_ZScore,Absolute_Production_ZScore,Production_Anomaly,Production_Change_Direction,Production_Anomaly_Category,Production_Anomaly_Reason,Data_Sufficient
Pacchwara North Coal Mine,Jharkhand,WBPDCL_PN,,15.0,13.71,,-1.2899999999999991,,-8.599999999999994,14.355,0.9121677477306456,2,0,-1.2899999999999991,-8.599999999999994,-1.4416843234019048,1.4416843234019048,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Gouri -Pauni(A) OCM,Maharashtra,WCL,,0.87,2.57,,1.6999999999999995,,195.40229885057468,1.72,1.2020815280171306,2,0,1.6999999999999995,195.40229885057468,1.4394905283955728,1.4394905283955728,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
NTST-Jeenagora,Jharkhand,BCCL,3.81,6.05,4.77,2.24,-1.2800000000000002,58.79265091863516,-21.157024793388437,4.876666666666666,1.1238030669709589,3,0,-1.2800000000000002,-21.157024793388437,-1.4320482871082687,1.4320482871082687,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Samleswari OCP,Odisha,MCL,5.19,6.44,8.06,1.25,1.62,24.08477842003853,25.15527950310559,6.5633333333333335,1.438969538709327,3,0,1.62,25.15527950310559,1.3624022380464769,1.3624022380464769,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
DVC Tubed Mines,Jharkhand,DVC_T,,0.03,1.52,,1.49,,4966.666666666667,0.775,1.053589103967956,2,0,1.49,4966.666666666667,1.237133766229195,1.237133766229195,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Jamkhani Coal Mine,Odisha,Vedanta,,0.69,2.13,,1.44,,208.69565217391303,1.41,1.0182337649086284,2,0,1.44,208.69565217391303,1.1889535847610098,1.1889535847610098,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
AKK OCP,Jharkhand,CCL,4.24,6.32,5.36,2.08,-0.96,49.0566037735849,-15.189873417721516,5.306666666666668,1.041025135783634,3,0,-0.96,-15.189873417721516,-1.1236951257118828,1.1236951257118828,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Ramagundam-OC 3 & OC III,Telangana,SCCL,8.16,8.16,9.5,0.0,1.34,0.0,16.421568627450977,8.606666666666667,0.7736493607140985,3,0,1.34,16.421568627450977,1.0925932218246392,1.0925932218246392,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Penganga OC,Maharashtra,WCL,6.3,5.71,4.81,-0.5899999999999999,-0.9000000000000004,-9.365079365079364,-15.761821366024526,5.6066666666666665,0.7503554713156515,3,0,-0.9000000000000004,-15.761821366024526,-1.0658789079500608,1.0658789079500608,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Barjora (North) Coal Mine,West Bengal,WBPDCL_BN,,2.01,1.12,,-0.8899999999999997,,-44.27860696517412,1.565,0.6293250352560271,2,0,-0.8899999999999997,-44.27860696517412,-1.0562428716564232,1.0562428716564232,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Ashoka,Jharkhand,CCL,13.13,10.72,9.85,-2.41,-0.870000000000001,-18.35491241431836,-8.115671641791053,11.233333333333334,1.6991860796667724,3,0,-0.870000000000001,-8.115671641791053,-1.0369707990691504,1.0369707990691504,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Dipka,Chhattisgarh,SECL,34.38,32.15,33.42,-2.230000000000004,1.2700000000000031,-6.486329261198383,3.950233281493012,33.31666666666667,1.118585416199111,3,0,1.2700000000000031,3.950233281493012,1.025140967769183,1.025140967769183,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Rampur Batura,Madhya Pradesh,SECL,,0.05,1.22,,1.17,,2340.0,0.635,0.8273149339882605,2,0,1.17,2340.0,0.9287806048328093,0.9287806048328093,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
AKWMC,Jharkhand,BCCL,4.2,3.81,3.1,-0.3900000000000001,-0.71,-9.285714285714288,-18.63517060367454,3.703333333333333,0.5577036249956902,3,0,-0.71,-18.63517060367454,-0.8827942183709565,0.8827942183709565,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Umrer OC Mine,Maharashtra,WCL,,3.81,3.11,,-0.7000000000000002,,-18.37270341207349,3.46,0.4949747468305834,2,0,-0.7000000000000002,-18.37270341207349,-0.8731581820773197,0.8731581820773197,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Jalagam Vengala Rao OC-2,Telangana,SCCL,7.35,10.0,11.07,2.6500000000000004,1.0700000000000005,36.05442176870749,10.700000000000005,9.473333333333334,1.91510661147972,3,0,1.0700000000000005,10.700000000000005,0.8324202418964394,0.8324202418964394,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Bhatadi OC Mine,Maharashtra,WCL,1.3,1.47,0.85,0.1699999999999999,-0.62,13.076923076923071,-42.17687074829932,1.2066666666666668,0.3203643758805484,3,0,-0.62,-42.17687074829932,-0.7960698917282231,0.7960698917282231,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Lingaraj OCP,Odisha,MCL,14.46,16.51,17.54,2.0500000000000007,1.0299999999999976,14.177040110650074,6.238643246517247,16.17,1.5678966802694614,3,0,1.0299999999999976,6.238643246517247,0.7938760967218883,0.7938760967218883,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Dhoptala OC (Sasti Colliery),Maharashtra,WCL,,0.7,1.68,,0.98,,140.0,1.19,0.6929646455628166,2,0,0.98,140.0,0.7456959152537054,0.7456959152537054,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Sasti Expn. OCM,Maharashtra,WCL,,2.45,1.89,,-0.5600000000000003,,-22.85714285714287,2.17,0.3959797974644668,2,0,-0.5600000000000003,-22.85714285714287,-0.738253673966401,0.738253673966401,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Mungoli OCM,Maharashtra,WCL,,4.31,5.25,,0.9400000000000004,,21.809744779582378,4.779999999999999,0.664680374315355,2,0,0.9400000000000004,21.809744779582378,0.7071517700791575,0.7071517700791575,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Amelia Coal Block,Madhya Pradesh,THDC,,0.31,1.25,,0.94,,303.2258064516129,0.78,0.6646803743153546,2,0,0.94,303.2258064516129,0.7071517700791571,0.7071517700791571,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Sarisatolli Coal Mine,West Bengal,CESC,1.64,1.8,1.29,0.1600000000000001,-0.51,9.756097560975618,-28.33333333333333,1.5766666666666669,0.2608320021265284,3,0,-0.51,-28.33333333333333,-0.6900734924982155,0.6900734924982155,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
"Jawahar Khani OC-5,",Telangana,SCCL,,1.88,1.37,,-0.5099999999999998,,-27.12765957446808,1.625,0.360624458405139,2,0,-0.5099999999999998,-27.12765957446808,-0.6900734924982153,0.6900734924982153,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Mohanpur (Expn),West Bengal,ECL,0.77,1.08,2.0,0.31,0.92,40.25974025974027,85.18518518518518,1.2833333333333334,0.6397134775298495,3,0,0.92,85.18518518518518,0.6878796974918832,0.6878796974918832,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Garjanbahal OCP,Odisha,MCL,13.55,17.29,18.2,3.7399999999999984,0.91,27.60147601476013,5.263157894736843,16.346666666666668,2.4643525180731203,3,0,0.91,5.263157894736843,0.6782436611982461,0.6782436611982461,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Baranj,Maharashtra,KPCL,1.26,1.61,2.5,0.3500000000000001,0.8899999999999999,27.777777777777786,55.27950310559005,1.79,0.6392964883369844,3,0,0.8899999999999999,55.27950310559005,0.6589715886109718,0.6589715886109718,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Gouthampur Khani OCP,Telangana,SCCL,,0.59,0.13,,-0.4599999999999999,,-77.96610169491525,0.36,0.3252691193458118,2,0,-0.4599999999999999,-77.96610169491525,-0.6418933110300301,0.6418933110300301,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Bijari OC,Chhattisgarh,SECL,1.03,0.76,1.61,-0.27,0.8500000000000001,-26.21359223300971,111.8421052631579,1.1333333333333335,0.4343193909248508,3,0,0.8500000000000001,111.8421052631579,0.6204274434364238,0.6204274434364238,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Sayal `D',Jharkhand,CCL,0.0,0.17,1.01,0.17,0.84,,494.1176470588235,0.3933333333333333,0.5407710544521899,3,1,0.84,494.1176470588235,0.6107914071427866,0.6107914071427866,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Kakri Project,Uttar Pradesh,NCL,,2.26,1.84,,-0.4199999999999997,,-18.584070796460168,2.05,0.2969848480983497,2,0,-0.4199999999999997,-18.584070796460168,-0.6033491658554817,0.6033491658554817,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Khairagura OC,Telangana,SCCL,2.36,2.92,3.75,0.56,0.8300000000000001,23.72881355932204,28.424657534246577,3.01,0.6993568473962345,3,0,0.8300000000000001,28.424657534246577,0.6011553708491497,0.6011553708491497,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Dhanpuri,Madhya Pradesh,SECL,0.45,0.52,0.13,0.07,-0.39,15.555555555555555,-75.0,0.3666666666666667,0.2079262689833425,3,0,-0.39,-75.0,-0.5744410569745708,0.5744410569745708,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Durgapur Open Cast,Maharashtra,WCL,,1.73,2.5,,0.77,,44.50867052023121,2.115,0.5444722215136416,2,0,0.77,44.50867052023121,0.5433391530873273,0.5433391530873273,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Kaniha OCP,Odisha,MCL,10.1,12.15,11.81,2.0500000000000007,-0.3399999999999998,20.297029702970303,-2.7983539094650194,11.353333333333332,1.098650687586065,3,0,-0.3399999999999998,-2.7983539094650194,-0.5262608755063855,0.5262608755063855,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Bhanegaon OCM,Maharashtra,WCL,,0.4,1.15,,0.7499999999999999,,187.49999999999997,0.7749999999999999,0.5303300858899105,2,0,0.7499999999999999,187.49999999999997,0.524067080500053,0.524067080500053,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
New Majri UG to OC Expn.,Maharashtra,WCL,,1.86,1.53,,-0.33,,-17.74193548387097,1.695,0.2333452377915607,2,0,-0.33,-17.74193548387097,-0.5166248392127486,0.5166248392127486,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Chitra East OCP,Jharkhand,ECL,0.99,1.03,1.76,0.04,0.73,4.040404040404044,70.87378640776699,1.26,0.4334743360338648,3,0,0.73,70.87378640776699,0.5047950079127791,0.5047950079127791,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Baroud OC,Chhattisgarh,SECL,,3.5,4.2,,0.7000000000000002,,20.000000000000004,3.85,0.4949747468305834,2,0,0.7000000000000002,20.000000000000004,0.4758868990318681,0.4758868990318681,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Prakasham Khani OC,Telangana,SCCL,9.75,9.75,10.45,0.0,0.6999999999999993,0.0,7.179487179487172,9.983333333333333,0.4041451884327376,3,0,0.6999999999999993,7.179487179487172,0.4758868990318672,0.4758868990318672,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Indaram Khani-OC,Telangana,SCCL,1.5,1.5,1.22,0.0,-0.28,0.0,-18.666666666666668,1.4066666666666665,0.1616580753730952,3,0,-0.28,-18.666666666666668,-0.46844465774456323,0.46844465774456323,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
"Indaram Khani-1A, Incline",Telangana,SCCL,0.45,0.48,0.2,0.0299999999999999,-0.2799999999999999,6.66666666666666,-58.33333333333333,0.3766666666666666,0.1537313674346694,3,0,-0.2799999999999999,-58.33333333333333,-0.4684446577445632,0.4684446577445632,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
North Searsole OC Colliery,West Bengal,ECL,0.2,0.37,1.06,0.1699999999999999,0.6900000000000001,84.99999999999999,186.4864864864865,0.5433333333333333,0.4554484969053398,3,0,0.6900000000000001,186.4864864864865,0.4662508627382309,0.4662508627382309,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Rohini,Jharkhand,CCL,0.68,0.31,0.04,-0.37,-0.27,-54.41176470588236,-87.0967741935484,0.3433333333333333,0.3212994449626911,3,0,-0.27,-87.0967741935484,-0.4588086214509262,0.4588086214509262,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Bhurkunda (Sangum),Jharkhand,CCL,0.0,0.41,0.14,0.41,-0.2699999999999999,,-65.85365853658536,0.1833333333333333,0.2084066537645411,3,1,-0.2699999999999999,-65.85365853658536,-0.4588086214509261,0.4588086214509261,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Hingula OCP,Odisha,MCL,7.74,12.38,13.06,4.640000000000001,0.6799999999999997,59.9483204134367,5.492730210016152,11.06,2.895237468671612,3,0,0.6799999999999997,5.492730210016152,0.45661482644459356,0.45661482644459356,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
GP-IV-8 Coal Mine,Chhattisgarh,AMBUJA,0.78,1.2,0.95,0.4199999999999999,-0.25,53.84615384615383,-20.833333333333336,0.9766666666666666,0.2112660250332109,3,0,-0.25,-20.833333333333336,-0.43953654886365207,0.43953654886365207,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Adriyala Saft Project,Telangana,SCCL,,1.71,1.47,,-0.24,,-14.035087719298245,1.59,0.1697056274847714,2,0,-0.24,-14.035087719298245,-0.429900512570015,0.429900512570015,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Godavari Khani-11 Incline,Telangana,SCCL,,0.84,0.61,,-0.2299999999999999,,-27.38095238095238,0.725,0.1626345596729059,2,0,-0.2299999999999999,-27.38095238095238,-0.42026447627637786,0.42026447627637786,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Rajnagar,Madhya Pradesh,SECL,0.0,0.0,0.63,0.0,0.63,,,0.21,0.3637306695894642,3,2,0.63,,0.4084346449764086,0.4084346449764086,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Giridih OC,Jharkhand,CCL,0.1,0.2,0.0,0.1,-0.2,100.0,-100.0,0.1,0.1,3,1,-0.2,-100.0,-0.3913563673954668,0.3913563673954668,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Karo-I OC,Jharkhand,CCL,2.75,1.52,1.32,-1.23,-0.1999999999999999,-44.72727272727273,-13.157894736842104,1.8633333333333333,0.7743599507550305,3,0,-0.1999999999999999,-13.157894736842104,-0.3913563673954667,0.3913563673954667,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
New Kenda Colliery,West Bengal,ECL,,0.01,0.62,,0.61,,6100.0,0.315,0.4313351365237939,2,0,0.61,6100.0,0.38916257238913443,0.38916257238913443,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Jarangdih OC.,Jharkhand,CCL,0.37,0.87,1.48,0.5,0.61,135.13513513513513,70.11494252873564,0.9066666666666666,0.5559076661940662,3,0,0.61,70.11494252873564,0.38916257238913443,0.38916257238913443,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
"Srirampur-1, Incline",Telangana,SCCL,0.15,0.3,0.11,0.15,-0.19,100.0,-63.33333333333334,0.1866666666666666,0.1001665280087781,3,0,-0.19,-63.33333333333334,-0.38172033110182974,0.38172033110182974,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Dakra Bukbuka,Jharkhand,CCL,0.55,0.48,0.29,-0.07,-0.19,-12.727272727272736,-39.583333333333336,0.44,0.1345362404707371,3,0,-0.19,-39.583333333333336,-0.38172033110182974,0.38172033110182974,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Ramagundam OC-II Extn,Telangana,SCCL,3.24,2.41,2.22,-0.8300000000000001,-0.1899999999999999,-25.617283950617285,-7.883817427385889,2.623333333333333,0.5424327915358117,3,0,-0.1899999999999999,-7.883817427385889,-0.3817203311018297,0.3817203311018297,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Gouri Deep,Maharashtra,WCL,0.6,0.56,0.38,-0.0399999999999999,-0.18,-6.666666666666654,-32.14285714285715,0.5133333333333333,0.1171893055416463,3,0,-0.18,-32.14285714285715,-0.3720842948081927,0.3720842948081927,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Marki Mangli - I Coal Mine,Maharashtra,TUML,,0.18,0.0,,-0.18,,-100.0,0.09,0.1272792206135785,2,1,-0.18,-100.0,-0.3720842948081927,0.3720842948081927,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Kakatiya Khani-OC-III,Telangana,SCCL,0.36,0.78,1.37,0.42,0.5900000000000001,116.66666666666669,75.64102564102565,0.8366666666666668,0.5073788853838258,3,0,0.5900000000000001,75.64102564102565,0.3698904998018604,0.3698904998018604,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Srirampur-3 & 3A Incline,Telangana,SCCL,,0.4,0.23,,-0.17,,-42.5,0.315,0.120208152801713,2,0,-0.17,-42.5,-0.3624482585145557,0.3624482585145557,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
"Junad,",Maharashtra,WCL,0.74,0.63,0.46,-0.1099999999999999,-0.1699999999999999,-14.864864864864863,-26.984126984126984,0.61,0.1410673597966588,3,0,-0.1699999999999999,-26.984126984126984,-0.3624482585145556,0.3624482585145556,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Amalgamated Inder Kamptee OCM,Maharashtra,WCL,,2.51,3.09,,0.5800000000000001,,23.107569721115546,2.8,0.4101219330881976,2,0,0.5800000000000001,23.107569721115546,0.3602544635082234,0.3602544635082234,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Jaganathpur,Chhattisgarh,SECL,1.78,2.26,2.83,0.4799999999999997,0.5700000000000003,26.96629213483145,25.22123893805312,2.29,0.5256424640380569,3,0,0.5700000000000003,25.22123893805312,0.3506184272145865,0.3506184272145865,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
