Mine Name,Time_Window,record_count,PM25_mean,PM25_max,PM25_std,PM25_count,PM10_mean,PM10_max,PM10_std,PM10_count,SO2_mean,SO2_max,SO2_std,SO2_count,CO_mean,CO_max,CO_std,CO_count,PM10_missing
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-29 18:00:00,57,4.904385964912281,6.59,1.084489704791843,57,8.678245614035086,14.28,1.3386482024882635,57,34.25859649122807,41.78,3.3981494116002144,57,0.3257894736842105,0.87,0.25451597878845766,57,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-29 19:00:00,119,5.183445378151261,10.36,2.914366936221367,119,9.672521008403361,11.58,1.366057806112043,119,35.229663865546215,41.9,2.911417015578236,119,0.4546218487394958,0.87,0.1732676479429205,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-29 20:00:00,119,8.878487394957983,14.31,3.3134110230834035,119,10.747058823529413,17.31,2.2553857774192516,119,36.14201680672269,42.96,2.9459899719736637,119,0.5350420168067227,0.94,0.22886926898870333,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-29 21:00:00,119,9.31159663865546,14.89,3.711420985852442,119,16.672016806722688,19.64,1.4939264496631959,119,36.32084033613446,43.26,3.140466223574146,119,0.5311764705882352,0.95,0.17134649438080204,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-29 22:00:00,119,7.714201680672269,12.87,3.1248339605512014,119,8.150840336134454,11.4,1.7334601332633655,119,35.821176470588235,44.33,2.9699963409412447,119,0.4426890756302521,0.89,0.1421010471161672,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-29 23:00:00,119,10.335546218487396,14.44,3.0710219404033845,119,10.046974789915966,15.68,3.6740407613836066,119,36.41302521008403,42.36,3.030002112943787,119,0.40252100840336136,0.68,0.13437374193274668,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 00:00:00,119,11.785630252100841,17.72,3.124971223909671,119,14.778991596638656,19.45,2.730911375458157,119,37.05756302521009,45.59,3.232682667872561,119,0.4339495798319328,1.11,0.20691527164434353,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 01:00:00,119,9.419327731092437,16.73,3.8378703335009696,119,15.842521008403361,18.43,1.815557634133377,119,38.553613445378154,46.6,3.01633764100829,119,0.22815126050420168,0.67,0.1718344018877666,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 02:00:00,119,11.936638655462184,17.38,3.6523686944485774,119,18.400084033613446,26.59,5.211761226075527,119,38.37890756302521,45.03,2.9932276071712534,119,0.3211764705882353,0.79,0.1695716261372389,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 03:00:00,119,10.371848739495798,21.71,5.988896642443875,119,16.22655462184874,23.77,4.902058792145623,119,39.178403361344536,48.21,2.8715604283295058,119,0.27521008403361347,0.6,0.15008951419180444,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 04:00:00,119,8.343865546218487,16.93,4.168615814905165,119,14.038403361344537,16.15,1.3020843675920502,119,38.57226890756303,49.03,3.543840547397836,119,0.20840336134453782,0.49,0.14146918687849744,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 05:00:00,119,7.988487394957983,12.25,3.7376276439074,119,8.657142857142858,13.54,2.472067734953585,119,37.958067226890755,46.43,3.4331934724351103,119,0.1815966386554622,0.6,0.1497907195043223,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 06:00:00,119,10.249579831932774,17.69,4.183455994659296,119,9.845462184873949,14.07,2.394702397524678,119,38.124117647058824,47.05,3.455634654791767,119,0.25638655462184873,0.81,0.17926748829629613,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 07:00:00,119,7.224957983193277,11.49,2.802651853775968,119,15.28235294117647,17.66,1.7282928315725332,119,37.385630252100846,46.2,3.006988650374962,119,0.2276470588235294,0.64,0.13628674831655457,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 08:00:00,119,8.738823529411766,10.51,1.1085929213216117,119,20.743697478991596,33.38,7.766328219268123,119,35.68672268907563,40.53,2.416913604496339,119,0.1223529411764706,0.57,0.13793701511770237,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 09:00:00,119,7.234285714285714,11.52,2.442477407014696,119,15.418655462184873,20.22,1.501748655519793,119,35.59159663865546,42.03,3.2388821526311635,119,0.09050420168067226,0.36,0.09895084158304507,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 10:00:00,119,10.270756302521008,23.17,7.289714388358228,119,14.282857142857143,28.76,6.761141356717856,119,33.36310924369748,39.89,2.952035134803991,119,0.1411764705882353,0.51,0.15427345559976263,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 11:00:00,119,12.116554621848739,23.52,4.938904091191807,119,21.077563025210083,27.0,2.33946030513434,119,33.350420168067224,42.65,3.15899587000497,119,0.20100840336134454,0.54,0.15659185292779873,119,0
