Mine Name,Company Name,State,District,Coalfield,Area,Type,Production,Mine_Type,Peer_Mean,Peer_Std,Peer_Count,Peer_Production_ZScore,Peer_Production_Anomaly,Peer_Operational_Risk,Peer_Production_Category,Peer_Production_Direction
Mahadeopuri,WCL,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,Pench,UG,0.033,Underground,0.2080848484848485,0.3309294635266063,165,-0.5290699915898299,0,13.226749789745748,Normal,Lower than peer average
Mahakali Colliery,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,UG,0.0,Underground,0.2080848484848485,0.3309294635266063,165,-0.6287891270464613,0,15.719728176161532,Normal,Lower than peer average
Maheshpur,BCCL,Jharkhand,DHANBAD,Jharia,Govindpur,UG,0.029,Underground,0.2080848484848485,0.3309294635266063,165,-0.541157159523967,0,13.528928988099176,Normal,Lower than peer average
Makardhokra-I OC Expansion Mine,WCL,Maharashtra,NAGPUR,Umrer,Umrer,OC,4.2,Opencast,4.168157205240175,7.919370943015163,229,0.004020874257432071,0,0.10052185643580178,Normal,Higher than peer average
Makardhokra-III OC MINE,WCL,Maharashtra,NAGPUR,Umrer,Umrer,OC,4.433,Opencast,4.168157205240175,7.919370943015163,229,0.03344240302235301,0,0.8360600755588252,Normal,Higher than peer average
Mandarboni,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,UG,0.033,Underground,0.2080848484848485,0.3309294635266063,165,-0.5290699915898299,0,13.226749789745748,Normal,Lower than peer average
Manikpur,SECL,Chhattisgarh,KORBA,Central India,Korba,OC,5.25,Opencast,4.168157205240175,7.919370943015163,229,0.13660716268304163,0,3.415179067076041,Normal,Higher than peer average
Manki/Churi,CCL,Jharkhand,RANCHI,N.K.Coalfields,North Karanpura,UG,0.628,Underground,0.2080848484848485,0.3309294635266063,165,1.2688962386130689,0,31.722405965326722,Normal,Higher than peer average
Manna Incline,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,UG,0.0,Underground,0.2080848484848485,0.3309294635266063,165,-0.6287891270464613,0,15.719728176161532,Normal,Lower than peer average
Manoharpur Coal Mine,OCPL,Odisha,SUNDARGARH,IB Valley,Sundargarh,OC,8.509,Opencast,4.168157205240175,7.919370943015163,229,0.5481297474250051,0,13.703243685625127,Normal,Higher than peer average
Manuguru Opencast,SCCL,Telangana,KHAMMAM,Godavari Valley,Manuguru,OC,2.1,Opencast,4.168157205240175,7.919370943015163,229,-0.26115170259378706,0,6.528792564844677,Normal,Lower than peer average
Marki Mangli - I Coal Mine,TUML,Maharashtra,YAVATMAL,Wardha Valley,Marki Mangli-1 Coal Mine,OC,0.001,Opencast,4.168157205240175,7.919370943015163,229,-0.5261980067893628,0,13.15495016973407,Normal,Lower than peer average
Marki Mangli III,BSIL,Maharashtra,YAVATMAL,Warda Valley,Marki Mangli -III,OC,0.105,Opencast,4.168157205240175,7.919370943015163,229,-0.5130656506024452,0,12.82664126506113,Normal,Lower than peer average
Mathani,WCL,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,Pench,UG,0.091,Underground,0.2080848484848485,0.3309294635266063,165,-0.35380605654484143,0,8.845151413621036,Normal,Lower than peer average
Meera,SECL,Madhya Pradesh,SHAHDOL,Central India,Jamuna & Kotma,UG,0.076,Underground,0.2080848484848485,0.3309294635266063,165,-0.39913293629785573,0,9.978323407446393,Normal,Lower than peer average
Methani Colliery,ECL,West Bengal,Bardhaman,Raniganj,Sodepur,UG,0.054,Underground,0.2080848484848485,0.3309294635266063,165,-0.46561235993560995,0,11.64030899839025,Normal,Lower than peer average
Metica Coal Mine,JKML,Jammu & Kashmir,Rajouri,Kalakota,Kalakota,UG,0.002,Underground,0.2080848484848485,0.3309294635266063,165,-0.6227455430793927,0,15.568638576984817,Normal,Lower than peer average
Mohan (Mohan UG),WCL,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,Kanhan,Mixed,0.038,Mixed,0.6418571428571429,1.2806088009610512,14,-0.47153911671071574,0,11.788477917767894,Normal,Lower than peer average
Mohanpur (Expn),ECL,West Bengal,Bardhaman,Mugma/Salanpur,Salanpur,OC,2.0,Opencast,4.168157205240175,7.919370943015163,229,-0.27377896815813085,0,6.844474203953271,Normal,Lower than peer average
Moher & Moher Amlohri Extn,WBPDCL,West Bengal,BIRBHUM,Raniganj,Bhimgarah,OC,0.5,Opencast,4.168157205240175,7.919370943015163,229,-0.4631879516232874,0,11.579698790582185,Normal,Lower than peer average
Moher & Moher Amlohri Extn,Sasan Power Limited,Madhya Pradesh,SINGRAULI,Singrauli,Sasan Power Ltd,OC,18.276,Opencast,4.168157205240175,7.919370943015163,229,1.781434775094461,0,44.53586937736153,Normal,Higher than peer average
Moonidih,BCCL,Jharkhand,DHANBAD,Jharia,West Jharia,UG,0.484,Underground,0.2080848484848485,0.3309294635266063,165,0.8337581929841319,0,20.843954824603298,Normal,Higher than peer average
Mudidih,BCCL,Jharkhand,DHANBAD,Jharia,Sijua,OC,0.823,Opencast,4.168157205240175,7.919370943015163,229,-0.422401883850457,0,10.560047096261425,Normal,Lower than peer average
Mungoli OCM,WCL,Maharashtra,YAVATMAL,Wardha,Wani,OC,5.25,Opencast,4.168157205240175,7.919370943015163,229,0.13660716268304163,0,3.415179067076041,Normal,Higher than peer average
N.C.P.H. Colliery (NEW),SECL,Chhattisgarh,KOREA,Central India,Chirimiri,UG,0.351,Underground,0.2080848484848485,0.3309294635266063,165,0.4318598591740722,0,10.796496479351806,Normal,Higher than peer average
Nabakajora Colliery,ECL,Jharkhand,RAMGARH,Raniganj,Kajora,UG,0.0,Underground,0.2080848484848485,0.3309294635266063,165,-0.6287891270464613,0,15.719728176161532,Normal,Lower than peer average
Naigaon OCM,WCL,Maharashtra,YAVATMAL,Wardha,Wani,OC,1.25,Opencast,4.168157205240175,7.919370943015163,229,-0.36848345989070913,0,9.212086497267729,Normal,Lower than peer average
NAKC,BCCL,Jharkhand,DHANBAD,Jharia,Govindpur,Mixed,0.707,Mixed,0.6418571428571429,1.2806088009610512,14,0.050868662696968554,0,1.271716567424214,Normal,Higher than peer average
Nakrakonda -Kumardihi 'B' UG,ECL,West Bengal,Bardhaman,Raniganj,Bankola,Mixed,1.511,Mixed,0.6418571428571429,1.2806088009610512,14,0.6786950522990286,0,16.967376307475714,Normal,Higher than peer average
Nandgaon Incline,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,UG,0.064,Underground,0.2080848484848485,0.3309294635266063,165,-0.4353944401002671,0,10.884861002506678,Normal,Lower than peer average
Nandira Colliery,MCL,Odisha,Angul,Talcher,Talcher (UG),UG,0.056,Underground,0.2080848484848485,0.3309294635266063,165,-0.4595687759685414,0,11.489219399213535,Normal,Lower than peer average
Narsamuda Colliery,ECL,West Bengal,Bardhaman,Raniganj,Sodepur,UG,0.053,Underground,0.2080848484848485,0.3309294635266063,165,-0.46863415191914426,0,11.715853797978607,Normal,Lower than peer average
Navapara,SECL,Chhattisgarh,SURGUJA,Central India,Bhatgaon,UG,0.052,Underground,0.2080848484848485,0.3309294635266063,165,-0.4716559439026785,0,11.791398597566962,Normal,Lower than peer average
Neelijay OCM,WCL,Maharashtra,YAVATMAL,Wardha,Wani,OC,4.5,Opencast,4.168157205240175,7.919370943015163,229,0.04190267095046336,0,1.047566773761584,Normal,Higher than peer average
Nehariya,WCL,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,Pench,UG,0.25,Underground,0.2080848484848485,0.3309294635266063,165,0.12665886883710964,0,3.166471720927741,Normal,Higher than peer average
New Godhur-Kusunda-Alkusa,BCCL,Jharkhand,DHANBAD,Jharia,Kusunda,OC,1.208,Opencast,4.168157205240175,7.919370943015163,229,-0.37378691142773346,0,9.344672785693337,Normal,Lower than peer average
New Kenda Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kenda,OC,0.622,Opencast,4.168157205240175,7.919370943015163,229,-0.447782687634788,0,11.1945671908697,Normal,Lower than peer average
New Majri - I(A) & II Extn. (A) OC,WCL,Maharashtra,CHANDRAPUR,Wardha,Majri,OC,2.5,Opencast,4.168157205240175,7.919370943015163,229,-0.21064264033641203,0,5.2660660084103,Normal,Lower than peer average
New Majri UG to OC Expn.,WCL,Maharashtra,CHANDRAPUR,Wardha,Majri,OC,1.527,Opencast,4.168157205240175,7.919370943015163,229,-0.3335059342774769,0,8.337648356936922,Normal,Lower than peer average
New Moghla Coal Mine,JKML,Jammu & Kashmir,Rajouri,Kalakota,Kalakota,UG,0.006,Underground,0.2080848484848485,0.3309294635266063,165,-0.6106583751452556,0,15.266459378631389,Normal,Lower than peer average
New Sethia,WCL,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,Pench,OC,0.0,Opencast,4.168157205240175,7.919370943015163,229,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average
Nichitpur,BCCL,Jharkhand,DHANBAD,Jharia,Sijua,OC,1.794,Opencast,4.168157205240175,7.919370943015163,229,-0.299791135220679,0,7.494778380516975,Normal,Lower than peer average
Nigahi Project,NCL,Madhya Pradesh,SINGRAULI,Singrauli,Nigahi,OC,33.006,Opencast,4.168157205240175,7.919370943015163,229,3.6414309927222983,1,91.03577481805746,Highly Unusual,Higher than peer average
"Nimcha Colliery , Nimcha OC (Amkola) & Nimcha Highwall",ECL,West Bengal,Bardhaman,Raniganj,Satgram,Mixed,0.59,Mixed,0.6418571428571429,1.2806088009610512,14,-0.040494132804823765,0,1.012353320120594,Normal,Lower than peer average
Ningah Colliery,ECL,West Bengal,Bardhaman,Raniganj,Sripur,UG,0.017,Underground,0.2080848484848485,0.3309294635266063,165,-0.5774186633263785,0,14.435466583159462,Normal,Lower than peer average
Ningha (SSI) OC,ECL,West Bengal,Bardhaman,Raniganj,Sripur,OC,0.258,Opencast,4.168157205240175,7.919370943015163,229,-0.4937459342889993,0,12.343648357224984,Normal,Lower than peer average
Nirsha,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,OC,0.147,Opencast,4.168157205240175,7.919370943015163,229,-0.5077621990654209,0,12.694054976635522,Normal,Lower than peer average
North Searsole OC Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kunustoria,OC,1.056,Opencast,4.168157205240175,7.919370943015163,229,-0.392980355085536,0,9.8245088771384,Normal,Lower than peer average
North Urimari/Birsa-OC,CCL,Jharkhand,HAZARIBAGH,S.K.Coalfields,Barka-Sayal,OC,4.2,Opencast,4.168157205240175,7.919370943015163,229,0.004020874257432071,0,0.10052185643580178,Normal,Higher than peer average
Nowrozabad (W),SECL,Madhya Pradesh,UMARIA,Central India,Johilla,UG,0.098,Underground,0.2080848484848485,0.3309294635266063,165,-0.33265351266010146,0,8.316337816502536,Normal,Lower than peer average
NTST-Jeenagora,BCCL,Jharkhand,DHANBAD,Jharia,Lodna,OC,4.767,Opencast,4.168157205240175,7.919370943015163,229,0.07561747000726125,0,1.8904367501815313,Normal,Higher than peer average
Orient Mine No. 1 & 2,MCL,Odisha,JHARSUGUDA,IB Valley,Orient,UG,0.199,Underground,0.2080848484848485,0.3309294635266063,165,-0.027452522323138783,0,0.6863130580784695,Normal,Lower than peer average
Pacchwara North Coal Mine,WBPDCL,Jharkhand,PAKUR,Rajmahal Area,Pacchwara,OC,13.707,Opencast,4.168157205240175,7.919370943015163,229,1.2044950114595943,0,30.112375286489858,Normal,Higher than peer average
Pachhwara Central Coal Mine,PSPCL,Jharkhand,PAKUR,Rajmahal,Amrapara-Maheshpur,OC,4.628,Opencast,4.168157205240175,7.919370943015163,229,0.058065570872823394,0,1.4516392718205848,Normal,Higher than peer average
Padampur OC,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,OC,0.0,Opencast,4.168157205240175,7.919370943015163,229,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average
Padmavathi Khani No.5 Incline,SCCL,Telangana,KHAMMAM,Godavari Valley,Kothagudem,UG,0.206,Underground,0.2080848484848485,0.3309294635266063,165,-0.006299978438398864,0,0.15749946095997158,Normal,Lower than peer average
Pakri Barwadih,NTPC,Jharkhand,HAZARIBAGH,North Karanpura,Hazaribagh,OC,16.308,Opencast,4.168157205240175,7.919370943015163,229,1.5329301887881757,0,38.323254719704394,Normal,Higher than peer average
Pali,SECL,Madhya Pradesh,UMARIA,Central India,Johilla,UG,0.085,Underground,0.2080848484848485,0.3309294635266063,165,-0.37193680844604715,0,9.298420211151178,Normal,Lower than peer average
Pandaveswar UG,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,UG,0.076,Underground,0.2080848484848485,0.3309294635266063,165,-0.39913293629785573,0,9.978323407446393,Normal,Lower than peer average
Pandavpara Colliery,SECL,Chhattisgarh,KOREA,Central India,Baikunthpur,UG,0.248,Underground,0.2080848484848485,0.3309294635266063,165,0.12061528487004108,0,3.0153821217510273,Normal,Higher than peer average
Paoni II OCM,WCL,Maharashtra,CHANDRAPUR,Wardha,Ballarpur,OC,3.25,Opencast,4.168157205240175,7.919370943015163,229,-0.11593814860383375,0,2.898453715095844,Normal,Lower than peer average
Parasea Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kunustoria,UG,0.109,Underground,0.2080848484848485,0.3309294635266063,165,-0.2994138008412243,0,7.485345021030608,Normal,Lower than peer average
Parbelia Colliery,ECL,West Bengal,PURULIA,Raniganj,Sodepur,UG,0.043,Underground,0.2080848484848485,0.3309294635266063,165,-0.49885207175448704,0,12.471301793862176,Normal,Lower than peer average
Parej East OCP,CCL,Jharkhand,RAMGARH,W.Bokaro,Hazaribagh,OC,0.403,Opencast,4.168157205240175,7.919370943015163,229,-0.47543639922070086,0,11.885909980517521,Normal,Lower than peer average
Parsa East and Kanta Basan OCM,RRVUNL,Chhattisgarh,SURGUJA,Hasdo-Arand,Parsa East and Kanta,OC,6.701,Opencast,4.168157205240175,7.919370943015163,229,0.31982878602166964,0,7.995719650541741,Normal,Higher than peer average
Patansaongi Colliery,WCL,Maharashtra,NAGPUR,Kamptee/Silewara,Nagpur,UG,0.039,Underground,0.2080848484848485,0.3309294635266063,165,-0.5109392396886242,0,12.773480992215605,Normal,Lower than peer average
Patmohana Colliery,ECL,West Bengal,Bardhaman,Raniganj,Sodepur,UG,0.046,Underground,0.2080848484848485,0.3309294635266063,165,-0.4897866958038842,0,12.244667395097105,Normal,Lower than peer average
Penganga OC,WCL,Maharashtra,CHANDRAPUR,Wardha,Wani,OC,4.806,Opencast,4.168157205240175,7.919370943015163,229,0.08054210357735529,0,2.0135525894338824,Normal,Higher than peer average
"Pimpalgaon,",WCL,Maharashtra,YAVATMAL,Wardha Valley,Wani North,OC,0.0,Opencast,4.168157205240175,7.919370943015163,229,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average
