Company Name,Area Name,Mine Name,Creation datetime,Record time,PM - 2.5 (µg/m3),PM - 10 (µg/m3),SO2 (µg/m3),NO2  (µg/m3),CO (mg/m3),Device ID,Created by
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:18,30-AUG-2026 16:48,17.80,21.49,28.80,,0.01,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:18,30-AUG-2026 16:48,17.64,21.89,32.96,,0.13,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:17,30-AUG-2026 16:47,17.48,22.44,34.18,,0.06,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:17,30-AUG-2026 16:47,17.37,22.87,36.39,,0.03,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:16,30-AUG-2026 16:46,17.37,23.25,28.93,,0.22,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:16,30-AUG-2026 16:46,17.42,23.38,31.15,,0.25,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:15,30-AUG-2026 16:45,17.66,23.38,33.66,,0.30,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,"Bilaspur, CHHATTISGARHr",South Eastern Coalfields  Limited - AQMS_H_Q,30-AUG-2026 22:15,30-AUG-2026 16:44,3.69,,18.39,0.00,0.00,site_5592,Swan Environ
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:15,30-AUG-2026 16:45,17.98,23.42,33.34,,0.48,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:14,30-AUG-2026 16:44,18.41,23.35,33.56,,0.47,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:14,30-AUG-2026 16:44,18.88,23.29,32.36,,0.47,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:13,30-AUG-2026 16:43,19.12,23.20,29.29,,0.45,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:13,30-AUG-2026 16:43,19.26,23.00,34.74,,0.38,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:12,30-AUG-2026 16:42,19.57,22.69,31.84,,0.59,site_5664,Thermo Fisher Scientific India Private Limited
