Year,State,Company,Producing Mine,Production (in MT)
2021-22,Jharkhand,CCL,Jharkhand OCP,0.50
2021-22,Jharkhand,CCL,Laiyo,0.00
2021-22,Jharkhand,CCL,Bokaro OC (Bermo),0.15
2021-22,Jharkhand,CCL,Kargali OC,0.00
2021-22,Jharkhand,CCL,B.S.I. UG,0.00
2021-22,Jharkhand,CCL,Karo-I OC,2.75
2021-22,Jharkhand,CCL,AKK OCP,4.24
2021-22,Jharkhand,CCL,Karo-I UG(Karo Seam),0.00
2021-22,Jharkhand,CCL,Khasmahal OC,0.00
2021-22,Jharkhand,CCL,Khasmahal UG,0.00
2021-22,Jharkhand,CCL,Karo SPL UG,0.00
2021-22,Jharkhand,CCL,Kabribad OC,0.00
2021-22,Jharkhand,CCL,Giridih OC,0.10
2021-22,Jharkhand,CCL,Konar OCP,0.00
2021-22,Jharkhand,CCL,Giridih UG,0.00
2021-22,Jharkhand,CCL,Aadocm,1.88
2021-22,Jharkhand,CCL,Amlo,0.00
2021-22,Jharkhand,CCL,Dhore East OC,0.00
2021-22,Jharkhand,CCL,SD OC Mine,1.95
2021-22,Jharkhand,CCL,Tarmi,0.00
2021-22,Jharkhand,CCL,"New Select Dhori,",0.00
2021-22,Jharkhand,CCL,Sel.Dhori OC(Q.N.1),0.00
2021-22,Jharkhand,CCL,"Sel.Dhori OC(SDQ-1, OC)",0.00
2021-22,Jharkhand,CCL,Dhori Khas(OC),0.00
2021-22,Jharkhand,CCL,Dhori Khas(UG),0.13
2021-22,Jharkhand,CCL,Kathara Colly.,0.14
2021-22,Jharkhand,CCL,Jarangdih OC.,0.37
2021-22,Jharkhand,CCL,Jarangdih UG.,0.00
2021-22,Jharkhand,CCL,NEW SWANG COLLY.,0.89
2021-22,Jharkhand,CCL,Sawang Colliery,0.00
2021-22,Jharkhand,CCL,"Govindpur,",0.03
2021-22,West Bengal,CESC,Sarisatolli Coal Mine,1.64
2021-22,Chhattisgarh,CSPGCL,Gare Palma Sector III,3.27
2021-22,West Bengal,DPL,Trans Damodar Coal Mine,0.51
2021-22,Jharkhand,DVC,DVC Bermo Mines,0.00
2021-22,Jharkhand,ECL,Madhaipur Colliery,0.17
2021-22,West Bengal,ECL,Pandaveswar UG,0.08
2021-22,West Bengal,ECL,Mandarboni & South Samla,0.06
2021-22,West Bengal,ECL,Khottadih,0.40
2021-22,West Bengal,ECL,Khottadih,0.62
2021-22,West Bengal,ECL,Dalurband OC Patch,0.19
2021-22,West Bengal,ECL,Khandra Colliery,0.08
2021-22,West Bengal,ECL,Bankola Colliery,0.17
2021-22,West Bengal,ECL,Shyam Sundarpur Colliery,0.65
2021-22,West Bengal,ECL,Kumardihi-A Colliery,0.08
2021-22,West Bengal,ECL,Nakrakonda-Kumardihi-B,0.77
2021-22,West Bengal,ECL,Tilaboni Colliery,0.13
2021-22,West Bengal,ECL,Sankarpur Colliery,0.25
2021-22,West Bengal,ECL,Jhanjra Project,3.63
2021-22,West Bengal,ECL,Madhusudanpur 7 Pit Colliery,0.05
2021-22,West Bengal,ECL,Naba Kajora Colliery,0.03
2021-22,West Bengal,ECL,Porascol East Colliery,0.06
2021-22,West Bengal,ECL,Porascol West Colliery,0.08
2021-22,West Bengal,ECL,Jambad UG Colliery,0.14
2021-22,West Bengal,ECL,Khas Kajora Colliery,0.16
2021-22,West Bengal,ECL,Central Kajora Colliery,0.08
2021-22,West Bengal,ECL,Jambad OCP,0.30
2021-22,West Bengal,ECL,Madhabpur & Madhabpur OC (H),0.02
2021-22,West Bengal,ECL,Sonepur Bazari Project,9.62
2021-22,West Bengal,ECL,New Kenda,0.24
2021-22,West Bengal,ECL,Bahula Colliery,0.11
2021-22,West Bengal,ECL,Lower Kenda Colliery,0.05
